method,taxa,rtt
castles,Aphelocoma coerulescens,0.21712300000000004
castles,Lanius ludovicianus,0.23868100000000003
castles,Ifrita kowaldi,0.22324500000000005
castles,Paradisaea raggiana,0.21921100000000004
castles,Struthidea cinerea,0.22210100000000005
castles,Myiagra hebetior,0.22800500000000007
castles,Dicrurus megarhynchus,0.22053300000000003
castles,Chaetorhynchus papuensis,0.22307300000000005
castles,Rhipidura dahli,0.23600800000000005
castles,Edolisoma coerulescens,0.21762800000000004
castles,Ptilorrhoa leucosticta,0.21636000000000002
castles,Orthonyx spaldingii,0.22141700000000003
castles,Pomatostomus ruficeps,0.232968
castles,Origma solitaria,0.225931
castles,Pardalotus punctatus,0.22583
castles,Grantiella picta,0.229321
castles,Dasyornis broadbenti,0.225482
castles,Malurus elegans,0.244504
castles,Climacteris rufus,0.221728
castles,Ptilonorhynchus violaceus,0.208198
castles,Atrichornis clamosus,0.211463
castles,Menura novaehollandiae,0.19687200000000002
castles,Mionectes macconnelli,0.21989800000000004
castles,Tyrannus savana,0.21040200000000003
castles,Tachuris rubrigastra,0.21124400000000004
castles,Neopipo cinnamomea,0.20285400000000003
castles,Piprites chloris,0.211011
castles,Onychorhynchus coronatus,0.20558
castles,Oxyruncus cristatus,0.20414100000000002
castles,Pachyramphus minor,0.207822
castles,Cephalopterus ornatus,0.200107
castles,Lepidothrix coronata,0.179008
castles,Manacus manacus,0.180097
castles,Campylorhamphus procurvoides,0.22595300000000001
castles,Xiphorhynchus elegans,0.224579
castles,Furnarius figulus,0.225843
castles,Sclerurus mexicanus,0.220777
castles,Formicarius rufipectus,0.245884
castles,Scytalopus superciliaris,0.225499
castles,Grallaria varia,0.23321199999999997
castles,Rhegmatorhina hoffmannsi,0.232097
castles,Sakesphorus luctuosus,0.231204
castles,Sapayoa aenigma,0.219746
castles,Pitta sordida,0.23981399999999997
castles,Calyptomena viridis,0.210343
castles,Smithornis capensis,0.21933
castles,Neodrepanis coruscans,0.22262800000000002
castles,Serilophus lunatus,0.22279900000000002
castles,Acanthisitta chloris,0.218638
castles,Agapornis roseicollis,0.21438200000000002
castles,Melopsittacus undulatus,0.210878
castles,Amazona guildingii,0.208882
castles,Eolophus roseicapillus,0.19196100000000002
castles,Probosciger aterrimus,0.19305000000000003
castles,Nestor notabilis,0.191405
castles,Falco cherrug,0.149221
castles,Falco peregrinus,0.149188
castles,Herpetotheres cachinnans,0.149874
castles,Cariama cristata,0.142924
castles,Chunga burmeisteri,0.142813
castles,Ramphastos sulfuratus,0.247821
castles,Semnornis frantzii,0.25819000000000003
castles,Eubucco bourcierii,0.25687
castles,Tricholaema leucomelas,0.25824600000000003
castles,Psilopogon haemacephalus,0.262182
castles,Picoides pubescens,0.24861900000000003
castles,Indicator maculatus,0.24038600000000004
castles,Bucco capensis,0.22360800000000003
castles,Galbula dea,0.21702000000000002
castles,Chloroceryle aenea,0.209433
castles,Halcyon senegalensis,0.19074400000000002
castles,Ceyx cyanopectus,0.23453300000000002
castles,Baryphthengus martii,0.21001600000000004
castles,Todus mexicanus,0.21292500000000003
castles,Brachypteracias leptosomus,0.194638
castles,Eurystomus gularis,0.18837500000000001
castles,Merops nubicus,0.21757200000000002
castles,Buceros rhinoceros,0.200041
castles,Bucorvus abyssinicus,0.184487
castles,Rhinopomastus cyanomelas,0.28799
castles,Upupa epops,0.28400600000000004
castles,Apaloderma vittatum,0.20180700000000001
castles,Trogon melanurus,0.19903400000000002
castles,Leptosomus discolor,0.167616
castles,Colius striatus,0.20963600000000002
castles,Urocolius indicus,0.21396600000000002
castles,Haliaeetus albicilla,0.12985500000000003
castles,Haliaeetus leucocephalus,0.12990200000000002
castles,Aquila chrysaetos,0.135671
castles,Spizaetus tyrannus,0.13636900000000002
castles,Circaetus pectoralis,0.13611
castles,Pandion haliaetus,0.148326
castles,Sagittarius serpentarius,0.149673
castles,Cathartes aura,0.129113
castles,Ciccaba nigrolineata,0.14313700000000001
castles,Strix occidentalis,0.143053
castles,Glaucidium brasilianum,0.164598
castles,Tyto alba,0.16687600000000002
castles,Phalacrocorax auritus,0.140406
castles,Phalacrocorax brasilianus,0.140344
castles,Phalacrocorax harrisi,0.140974
castles,Phalacrocorax carbo,0.14187299999999997
castles,Phalacrocorax pelagicus,0.14178699999999997
castles,Anhinga anhinga,0.155467
castles,Anhinga rufa,0.155588
castles,Sula dactylatra,0.15626199999999998
castles,Fregata magnificens,0.137093
castles,Pelecanus crispus,0.14765899999999998
castles,Scopus umbretta,0.16017399999999998
castles,Balaeniceps rex,0.139239
castles,Cochlearius cochlearius,0.15208499999999997
castles,Egretta garzetta,0.16002399999999997
castles,Mesembrinibis cayennensis,0.137146
castles,Nipponia nippon,0.139116
castles,Ciconia maguari,0.134625
castles,Calonectris borealis,0.13754
castles,Pelecanoides urinatrix,0.144832
castles,Fulmarus glacialis,0.135513
castles,Hydrobates tethys,0.13775900000000002
castles,Fregetta grallaria,0.131101
castles,Oceanites oceanicus,0.132963
castles,Thalassarche chlororhynchos,0.126355
castles,Aptenodytes forsteri,0.12238900000000001
castles,Pygoscelis adeliae,0.125619
castles,Gavia stellata,0.139455
castles,Eurypyga helias,0.18364599999999998
castles,Rhynochetos jubatus,0.179504
castles,Phaethon lepturus,0.158311
castles,Chaetura pelagica,0.203003
castles,Hemiprocne comata,0.17916100000000001
castles,Calypte anna,0.200237
castles,Oreotrochilus melanogaster,0.197632
castles,Aegotheles bennettii,0.183087
castles,Podargus strigoides,0.17579700000000004
castles,Nyctibius bracteatus,0.14977300000000004
castles,Nyctibius grandis,0.14502100000000004
castles,Steatornis caripensis,0.17228500000000002
castles,Antrostomus carolinensis,0.16897500000000004
castles,Chordeiles acutipennis,0.17205200000000004
castles,Nyctiprogne leucopyga,0.16115800000000002
castles,Uria aalge,0.143771
castles,Uria lomvia,0.143677
castles,Alca torda,0.143693
castles,Cepphus grylle,0.147401
castles,Stercorarius parasiticus,0.14884699999999998
castles,Chroicocephalus maculipennis,0.14871199999999998
castles,Larus smithsonianus,0.148204
castles,Rissa tridactyla,0.14582799999999999
castles,Phaetusa simplex,0.14884999999999998
castles,Rynchops niger,0.153665
castles,Glareola pratincola,0.16501299999999997
castles,Rhinoptilus africanus,0.16615099999999997
castles,Dromas ardeola,0.14845599999999998
castles,Turnix velox,0.26802000000000004
castles,Nycticryphes semicollaris,0.166191
