,dataset,branch,quartet_type,t1,t2,m_gts,n_gts,mu3,mu2,mu1,mua,mub,muc,mud,l_theory,l_simplified,l_empirical,gene_type,bl_true,bl_formula,bl_est
0,hs_hl_hg,internal,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.04874581548323426,0.031938780953898974,0.04798193045488762,matching,0.0363714,0.04231638690789931,0.03861277370172006
1,hs_hl_hg,internal,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.023088204416472,0.023088204416472,0.026269098944365188,non-matching,0.0363714,0.04231638690789931,0.03861277370172006
2,hs_hl_hg,terminal A,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.05230740890760574,0.05223193578661611,0.05228036930422627,matching,0.03120394,0.03128390147836026,0.027973629419543084
3,hs_hl_hg,terminal A,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.06600476000086967,0.06586847703784568,0.0671024479743224,non-matching,0.03120394,0.03128390147836026,0.027973629419543084
4,hs_hl_hg,terminal B,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.042405806908623105,0.04233033378763348,0.04187986511560383,matching,0.02130233,0.02138229947937762,0.01724153466513121
5,hs_hl_hg,terminal B,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.05610315800188704,0.05596687503886305,0.05197795910128389,non-matching,0.02130233,0.02138229947937762,0.01724153466513121
6,hs_hl_hg,terminal C,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.03129712508106745,0.02933228408837777,0.032015703025056456,matching,0.01829112,0.02062974392762058,0.007860494704901841
7,hs_hl_hg,terminal C,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.0506459484982643,0.04362983311167231,0.048996566847360916,non-matching,0.01829112,0.02062974392762058,0.007860494704901841
8,hs_hl_hg,terminal D,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.02551703518131731,0.02355219418862762,0.02499994540380686,matching,0.01251103,0.014849654027870442,0.0010220645766792838
9,hs_hl_hg,terminal D,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.044865858598514156,0.03784974321192216,0.0445070944935806,non-matching,0.01251103,0.014849654027870442,0.0010220645766792838
