,dataset,branch,quartet_type,t1,t2,m_gts,n_gts,mu3,mu2,mu1,mua,mub,muc,mud,l_theory,l_simplified,l_empirical,gene_type,bl_true,bl_formula,bl_est
0,only_hs,internal,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.08796827215133958,0.06641694153641273,0.08768265266197783,matching,0.08633073,0.08269556223253252,0.08217839651334757
1,only_hs,internal,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.032095635697078795,0.032095635697078795,0.03244935235389611,non-matching,0.08633073,0.08269556223253252,0.08217839651334757
2,only_hs,terminal A,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.05415708356068008,0.0551716258110056,0.05443897786977835,matching,0.02067823,0.01945353413947995,0.025882098204967646
3,only_hs,terminal A,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.10204783241752587,0.10651609309702828,0.10130768801948052,non-matching,0.02067823,0.01945353413947995,0.025882098204967646
4,only_hs,terminal B,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.05094635507450489,0.0519608973248304,0.05120540761295823,matching,0.0174675,0.01624280565330477,0.022701852597833555
5,only_hs,terminal B,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.09883710393135067,0.10330536461085307,0.09893846107142858,non-matching,0.0174675,0.01624280565330477,0.022701852597833555
6,only_hs,terminal C,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.05374056230379839,0.0533533404892886,0.05376216329390453,matching,0.02431909,0.024724052956411707,0.023493507074967022
7,only_hs,terminal C,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.0720744111233863,0.0713957256819743,0.07288455688311687,non-matching,0.02431909,0.024724052956411707,0.023493507074967022
8,only_hs,terminal D,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.0838983157505521,0.08351109393604231,0.08378880569479966,matching,0.05447685,0.054881806403165416,0.053439947719504846
9,only_hs,terminal D,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.10223216457014,0.101553479128728,0.10161120290584416,non-matching,0.05447685,0.054881806403165416,0.053439947719504846
