,dataset,branch,quartet_type,t1,t2,m_gts,n_gts,mu3,mu2,mu1,mua,mub,muc,mud,l_theory,l_simplified,l_empirical,gene_type,bl_true,bl_formula,bl_est
0,hs_hl,internal,balanced,0.8481420133500001,1.3500998881500001,9296,704,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.04874581548323426,0.031938780953898974,0.04882501958799484,matching,0.0363714,0.04231638690789931,0.043847354473313005
1,hs_hl,internal,balanced,0.8481420133500001,1.3500998881500001,9296,704,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.023088204416472,0.023088204416472,0.021143354474431816,non-matching,0.0363714,0.04231638690789931,0.043847354473313005
2,hs_hl,terminal A,balanced,0.8481420133500001,1.3500998881500001,9296,704,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.05230740890760574,0.05223193578661611,0.05218323063253012,matching,0.03120394,0.03128390147836026,0.03258831284713362
3,hs_hl,terminal A,balanced,0.8481420133500001,1.3500998881500001,9296,704,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.06600476000086967,0.06586847703784568,0.06357739073863637,non-matching,0.03120394,0.03128390147836026,0.03258831284713362
4,hs_hl,terminal B,balanced,0.8481420133500001,1.3500998881500001,9296,704,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.042405806908623105,0.04233033378763348,0.042533827844234075,matching,0.02130233,0.02138229947937762,0.022892686768955922
5,hs_hl,terminal B,balanced,0.8481420133500001,1.3500998881500001,9296,704,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.05610315800188704,0.05596687503886305,0.05327227288352274,non-matching,0.02130233,0.02138229947937762,0.022892686768955922
6,hs_hl,terminal C,balanced,0.8481420133500001,1.3500998881500001,9296,704,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.03129712508106745,0.02933228408837777,0.03135178778399311,matching,0.01829112,0.02062974392762058,0.012206087153590756
7,hs_hl,terminal C,balanced,0.8481420133500001,1.3500998881500001,9296,704,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.0506459484982643,0.04362983311167231,0.049118459616477275,non-matching,0.01829112,0.02062974392762058,0.012206087153590756
8,hs_hl,terminal D,balanced,0.8481420133500001,1.3500998881500001,9296,704,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.02551703518131731,0.02355219418862762,0.025426271597461275,matching,0.01251103,0.014849654027870442,0.006351026242617928
9,hs_hl,terminal D,balanced,0.8481420133500001,1.3500998881500001,9296,704,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.044865858598514156,0.03784974321192216,0.044192408977272724,non-matching,0.01251103,0.014849654027870442,0.006351026242617928
10,hs_hl,internal,unbalanced,0.4667150222,1.2328397074500002,5805,4195,0.000221182763902243,0.000238888716244893,0.00014295131551129,0.00014126818075813302,0.00027509676508571403,8.2195311742115e-05,0.000366907353377422,0.05118287744634435,0.0523846120798864,0.05213640569681308,matching,0.013343510000000003,0.01648798708912802,0.015581983903118931
11,hs_hl,internal,unbalanced,0.4667150222,1.2328397074500002,5805,4195,0.000221182763902243,0.000238888716244893,0.00014295131551129,0.00014126818075813302,0.00027509676508571403,8.2195311742115e-05,0.000366907353377422,0.04627339060894775,0.0477777432489786,0.04772824411203814,non-matching,0.013343510000000003,0.01648798708912802,0.015581983903118931
12,hs_hl,terminal A,unbalanced,0.4667150222,1.2328397074500002,5805,4195,0.000221182763902243,0.000238888716244893,0.00014295131551129,0.00014126818075813302,0.00027509676508571403,8.2195311742115e-05,0.000366907353377422,0.023065962870952285,0.02294532866931246,0.022959670668389318,matching,0.00848867,0.008854969173763504,0.003304629188328783
13,hs_hl,terminal A,unbalanced,0.4667150222,1.2328397074500002,5805,4195,0.000221182763902243,0.000238888716244893,0.00014295131551129,0.00014126818075813302,0.00027509676508571403,8.2195311742115e-05,0.000366907353377422,0.06030329392159749,0.06164696267123567,0.06104875886769964,non-matching,0.00848867,0.008854969173763504,0.003304629188328783
14,hs_hl,terminal B,unbalanced,0.4667150222,1.2328397074500002,5805,4195,0.000221182763902243,0.000238888716244893,0.00014295131551129,0.00014126818075813302,0.00027509676508571403,8.2195311742115e-05,0.000366907353377422,0.031107595910723852,0.030986961709084028,0.031089685019810513,matching,0.01653031,0.01689660221353507,0.011408074318520808
15,hs_hl,terminal B,unbalanced,0.4667150222,1.2328397074500002,5805,4195,0.000221182763902243,0.000238888716244893,0.00014295131551129,0.00014126818075813302,0.00027509676508571403,8.2195311742115e-05,0.000366907353377422,0.06834492696136904,0.06968859571100723,0.06933599133015494,non-matching,0.01653031,0.01689660221353507,0.011408074318520808
