,branch,type,d,d-est,p,p-est,m_gts,n_gts,mu3,mu2,mu1,mua,mub,muc,mud,l_true,l_est,l_true/l_est,lm_theory,lm_simplified,lm_est,ln_theory,ln_simplified,ln_est
0,internal,balanced,5.6806461669,5.914603500972185,0.996588646572601,0.9973002699730027,9983,17,0.000246283416779716,0.00013402136044385202,0.00024410280759220803,0.00028897172299592003,0.000197275480658072,0.000300219279117968,0.00020534838520672803,0.10302641000000001,0.09724095491287595,1.0594960743886936,0.11429896521827568,0.06427162204981908,0.11559018655514373,0.0246283416779716,0.0246283416779716,0.03932630705882354
1,terminal A,balanced,5.6806461669,5.914603500972185,0.996588646572601,0.9973002699730027,9983,17,0.000246283416779716,0.00013402136044385202,0.00024410280759220803,0.00028897172299592003,0.000197275480658072,0.000300219279117968,0.00020534838520672803,0.04499096,0.04500966552630902,0.999584410901741,0.0692744486519353,0.06925603718065243,0.0693563981338275,0.12104580764025535,0.12090043369442148,0.10304190941176469
2,terminal B,balanced,5.6806461669,5.914603500972185,0.996588646572601,0.9973002699730027,9983,17,0.000246283416779716,0.00013402136044385202,0.00024410280759220803,0.00028897172299592003,0.000197275480658072,0.000300219279117968,0.00020534838520672803,0.03071447,0.030733173641454746,0.9993914184824206,0.054997956767081024,0.054979545295798155,0.05461549302313933,0.10676931575540108,0.1066239418095672,0.09442131529411765
3,terminal C,balanced,5.6806461669,5.914603500972185,0.996588646572601,0.9973002699730027,9983,17,0.000246283416779716,0.00013402136044385202,0.00024410280759220803,0.00028897172299592003,0.000197275480658072,0.000300219279117968,0.00020534838520672803,0.02288934,0.0233173009712567,0.981646204602143,0.03659935641205676,0.03618747839992364,0.03679984772813784,0.08269871180275834,0.07521457471370074,0.07564186588235294
4,terminal D,balanced,5.6806461669,5.914603500972185,0.996588646572601,0.9973002699730027,9983,17,0.000246283416779716,0.00013402136044385202,0.00024410280759220803,0.00028897172299592003,0.000197275480658072,0.000300219279117968,0.00020534838520672803,0.01565618,0.01608414773727651,0.9733919543474064,0.02936620317807658,0.028954325165943453,0.02941597874085946,0.07546555856877817,0.06798142147972056,0.08381420411764706
5,internal,unbalanced,2.4611402928000006,2.4575860492123414,0.9146624143690891,0.9143585641435856,9430,570,0.0001506337070010759,2.7234865970623497e-05,3.3040138541848e-06,1.13373810429872e-05,0.0003340902314485548,0.0003922278204757559,0.000233347955909397,0.0008131599999999795,0.0001883011309390904,4.318402103824919,0.008507989343290804,0.0032652679030078556,0.008828474678685048,0.010035092909728306,0.00272348659706235,0.009663609824561402
6,terminal A,unbalanced,2.4611402928000006,2.4575860492123414,0.9146624143690891,0.9143585641435856,9430,570,0.0001506337070010759,2.7234865970623497e-05,3.3040138541848e-06,1.13373810429872e-05,0.0003340902314485548,0.0003922278204757559,0.000233347955909397,0.00076019,0.0007373817871997116,1.0309313481784044,0.0010793137249646974,0.001058953301764801,0.0010880324846235419,0.007398094417837805,0.0038429250012757656,0.008444264157894737
7,terminal B,unbalanced,2.4611402928000006,2.4575860492123414,0.9146624143690891,0.9143585641435856,9430,570,0.0001506337070010759,2.7234865970623497e-05,3.3040138541848e-06,1.13373810429872e-05,0.0003340902314485548,0.0003922278204757559,0.000233347955909397,0.02240126,0.022378452211231407,1.0010191852659562,0.022720384148996395,0.0227000237257965,0.02295677808059385,0.0290391648418695,0.025483995425307465,0.02934228692982456
8,terminal C,unbalanced,2.4611402928000006,2.4575860492123414,0.9146624143690891,0.9143585641435856,9430,570,0.0001506337070010759,2.7234865970623497e-05,3.3040138541848e-06,1.13373810429872e-05,0.0003340902314485548,0.0003922278204757559,0.000233347955909397,0.12283224,0.12035647173733373,1.0205702961122805,0.13081261662448257,0.12558311069252398,0.13194169333085898,0.12380716035034323,0.12374007119049593,0.13192642836842106
9,terminal D,unbalanced,2.4611402928000006,2.4575860492123414,0.9146624143690891,0.9143585641435856,9430,570,0.0001506337070010759,2.7234865970623497e-05,3.3040138541848e-06,1.13373810429872e-05,0.0003340902314485548,0.0003922278204757559,0.000233347955909397,0.0957041,0.10789388934559516,0.887020577165867,0.11782809003399453,0.0984002117142121,0.11732902382608698,0.11458395128541407,0.09751976461917782,0.12077351757894739
10,internal,unbalanced,0.012353798100000405,0.010908193716936715,0.012277803200039017,0.01084891510848915,3406,6594,5.3203442526135e-05,0.000125324881266846,7.1999243859924e-05,5.4617635909176e-05,8.150453643987001e-05,0.000144270125818578,0.000125761360806639,8.89500000000043e-05,0.00037851799163200983,0.23499543473875428,0.008568305582839811,0.01253409025797945,0.008699364941280095,0.008523807027515075,0.0125324881266846,0.008298679220503487
11,terminal A,unbalanced,0.012353798100000405,0.010908193716936715,0.012277803200039017,0.01084891510848915,3406,6594,5.3203442526135e-05,0.000125324881266846,7.1999243859924e-05,5.4617635909176e-05,8.150453643987001e-05,0.000144270125818578,0.000125761360806639,0.01664206,0.018075214122379835,0.9207116378994717,0.020720546903382257,0.020756714196864475,0.020438180334703467,0.024797608348582134,0.027174743965594692,0.02481073221716712
