,dataset,branch,quartet_type,t1,t2,m_gts,n_gts,mu3,mu2,mu1,mua,mub,muc,mud,l_theory,l_simplified,l_empirical,gene_type,bl_true,bl_formula,bl_est
0,qt,internal,unbalanced,0.0864819511,3.0837005662,3839,6161,0.000198210200164584,0.000288601668754464,0.000146317756855872,0.000549252021872208,0.00026196094992763204,0.000446676500464296,0.0002734285478532,0.02842062946314035,0.028997010432500046,0.028110659544152122,matching,0.0012653799999999826,0.0019899900814253236,0.0007490734252917655
1,qt,internal,unbalanced,0.0864819511,3.0837005662,3839,6161,0.000198210200164584,0.000288601668754464,0.000146317756855872,0.000549252021872208,0.00026196094992763204,0.000446676500464296,0.0002734285478532,0.02823975381678525,0.028860166875446402,0.02815366925174485,non-matching,0.0012653799999999826,0.0019899900814253236,0.0007490734252917655
2,qt,terminal A,unbalanced,0.0864819511,3.0837005662,3839,6161,0.000198210200164584,0.000288601668754464,0.000146317756855872,0.000549252021872208,0.00026196094992763204,0.000446676500464296,0.0002734285478532,0.0542756220261453,0.05427535055312162,0.05470789949466007,matching,0.04557789,0.04572138613817719,0.04649122552093199
3,qt,terminal A,unbalanced,0.0864819511,3.0837005662,3839,6161,0.000198210200164584,0.000288601668754464,0.000146317756855872,0.000549252021872208,0.00026196094992763204,0.000446676500464296,0.0002734285478532,0.07058182468662157,0.07089341658800723,0.07119370570199643,non-matching,0.04557789,0.04572138613817719,0.04649122552093199
4,qt,terminal B,unbalanced,0.0864819511,3.0837005662,3839,6161,0.000198210200164584,0.000288601668754464,0.000146317756855872,0.000549252021872208,0.00026196094992763204,0.000446676500464296,0.0002734285478532,0.030435706613822035,0.030435435140798356,0.030003938504818965,matching,0.02173797,0.021881470725853922,0.021189611141140974
5,qt,terminal B,unbalanced,0.0864819511,3.0837005662,3839,6161,0.000198210200164584,0.000288601668754464,0.000146317756855872,0.000549252021872208,0.00026196094992763204,0.000446676500464296,0.0002734285478532,0.046741909274298304,0.047053501175683965,0.047753817518260015,non-matching,0.02173797,0.021881470725853922,0.021189611141140974
6,qt,terminal C,unbalanced,0.0864819511,3.0837005662,3839,6161,0.000198210200164584,0.000288601668754464,0.000146317756855872,0.000549252021872208,0.00026196094992763204,0.000446676500464296,0.0002734285478532,0.07678041921122125,0.07735802590720643,0.07733191324303204,matching,0.04092894,0.04113746376282229,0.04152390820555001
7,qt,terminal C,unbalanced,0.0864819511,3.0837005662,3839,6161,0.000198210200164584,0.000288601668754464,0.000146317756855872,0.000549252021872208,0.00026196094992763204,0.000446676500464296,0.0002734285478532,0.050549921653238836,0.05054899807186878,0.05094074142509334,non-matching,0.04092894,0.04113746376282229,0.04152390820555001
8,qt,terminal D,unbalanced,0.0864819511,3.0837005662,3839,6161,0.000198210200164584,0.000288601668754464,0.000146317756855872,0.000549252021872208,0.00026196094992763204,0.000446676500464296,0.0002734285478532,0.20215709721103664,0.21965878236612693,0.19995211512893982,matching,0.19836751,0.1813235493924283,0.20411577557495672
9,qt,terminal D,unbalanced,0.0864819511,3.0837005662,3839,6161,0.000198210200164584,0.000288601668754464,0.000146317756855872,0.000549252021872208,0.00026196094992763204,0.000446676500464296,0.0002734285478532,0.20015005193695168,0.21760764332601815,0.20032623255640317,non-matching,0.19836751,0.1813235493924283,0.20411577557495672
10,qt,internal,unbalanced,0.0494940749,3.0306771798,3575,6425,0.00032549271262569005,0.00027483220341471,0.00010011340227873,0.00011847619765707,0.00039483895083930004,0.00014640625784148,0.00025345656541713,0.027866721478478382,0.027516220399122937,0.028395626215384613,matching,0.0004954999999999821,0.0005730812576666657,0.005077001981779695
11,qt,internal,unbalanced,0.0494940749,3.0306771798,3575,6425,0.00032549271262569005,0.00027483220341471,0.00010011340227873,0.00011847619765707,0.00039483895083930004,0.00014640625784148,0.00025345656541713,0.027849840905521454,0.027483220341471,0.027403523291828793,non-matching,0.0004954999999999821,0.0005730812576666657,0.005077001981779695
12,qt,terminal A,unbalanced,0.0494940749,3.0306771798,3575,6425,0.00032549271262569005,0.00027483220341471,0.00010011340227873,0.00011847619765707,0.00039483895083930004,0.00014640625784148,0.00025345656541713,0.019312323491866675,0.019311098622674435,0.019307593261538462,matching,0.01089778,0.010803002729806008,0.006010258678619066
13,qt,terminal A,unbalanced,0.0494940749,3.0306771798,3575,6425,0.00032549271262569005,0.00027483220341471,0.00010011340227873,0.00011847619765707,0.00039483895083930004,0.00014640625784148,0.00025345656541713,0.03447773040268343,0.03429596686486198,0.03409665837198443,non-matching,0.01089778,0.010803002729806008,0.006010258678619066
14,qt,terminal B,unbalanced,0.0494940749,3.0306771798,3575,6425,0.00032549271262569005,0.00027483220341471,0.00010011340227873,0.00011847619765707,0.00039483895083930004,0.00014640625784148,0.00025345656541713,0.0447329639425931,0.04473173907340086,0.0448299717062937,matching,0.03631842,0.03622364318053244,0.03182851648282971
15,qt,terminal B,unbalanced,0.0494940749,3.0306771798,3575,6425,0.00032549271262569005,0.00027483220341471,0.00010011340227873,0.00011847619765707,0.00039483895083930004,0.00014640625784148,0.00025345656541713,0.059898370853409856,0.0597166073155884,0.05909187796420234,non-matching,0.03631842,0.03622364318053244,0.03182851648282971
16,qt,terminal C,unbalanced,0.0494940749,3.0306771798,3575,6425,0.00032549271262569005,0.00027483220341471,0.00010011340227873,0.00011847619765707,0.00039483895083930004,0.00014640625784148,0.00025345656541713,0.04997407468841873,0.049625528449411066,0.051184909510489505,matching,0.01419149,0.014071349411091297,0.013922681667471409
17,qt,terminal C,unbalanced,0.0494940749,3.0306771798,3575,6425,0.00032549271262569005,0.00027483220341471,0.00010011340227873,0.00011847619765707,0.00039483895083930004,0.00014640625784148,0.00025345656541713,0.023353597284542692,0.02335256612174018,0.023480183786770425,non-matching,0.01419149,0.014071349411091297,0.013922681667471409
18,qt,terminal D,unbalanced,0.0494940749,3.0306771798,3575,6425,0.00032549271262569005,0.00027483220341471,0.00010011340227873,0.00011847619765707,0.00039483895083930004,0.00014640625784148,0.00025345656541713,0.21398923558810576,0.20420779979127743,0.2160433887104895,matching,0.1846754,0.19419627237511689,0.10210958213487545
19,qt,terminal D,unbalanced,0.0494940749,3.0306771798,3575,6425,0.00032549271262569005,0.00027483220341471,0.00010011340227873,0.00011847619765707,0.00039483895083930004,0.00014640625784148,0.00025345656541713,0.2127628329787978,0.20299754177747734,0.21055296831906614,non-matching,0.1846754,0.19419627237511689,0.10210958213487545
20,qt,internal,balanced,3.7230783767,3.9281269685,9999,1,0.00038355338407466396,0.00029865815155368197,0.000416372507975662,0.000356216226567114,0.00040960655217641594,0.000470766108574082,0.00027615605202112596,0.27754934081772875,0.1546152901854548,0.27876541604560456,matching,0.27233546000000003,0.2774063806072142,0.27876541604560456
21,qt,internal,balanced,3.7230783767,3.9281269685,9999,1,0.00038355338407466396,0.00029865815155368197,0.000416372507975662,0.000356216226567114,0.00040960655217641594,0.000470766108574082,0.00027615605202112596,0.0383553384074664,0.0383553384074664,0.006709030000000005,non-matching,0.27233546000000003,0.2774063806072142,0.27876541604560456
22,qt,terminal A,balanced,3.7230783767,3.9281269685,9999,1,0.00038355338407466396,0.00029865815155368197,0.000416372507975662,0.000356216226567114,0.00040960655217641594,0.000470766108574082,0.00027615605202112596,0.05137219410674598,0.05145029447821046,0.052411943343334336,matching,0.0098644,0.009785628420789061,0.04574557482151784
23,qt,terminal A,balanced,3.7230783767,3.9281269685,9999,1,0.00038355338407466396,0.00029865815155368197,0.000416372507975662,0.000356216226567114,0.00040960655217641594,0.000470766108574082,0.00027615605202112596,0.19045337128530776,0.19264131287870762,0.26238615,non-matching,0.0098644,0.009785628420789061,0.04574557482151784
24,qt,terminal B,balanced,3.7230783767,3.9281269685,9999,1,0.00038355338407466396,0.00029865815155368197,0.000416372507975662,0.000356216226567114,0.00040960655217641594,0.000470766108574082,0.00027615605202112596,0.052850687670370336,0.052928788041834804,0.05408749332133214,matching,0.01134289,0.011264121984413428,0.04741183844415561
25,qt,terminal B,balanced,3.7230783767,3.9281269685,9999,1,0.00038355338407466396,0.00029865815155368197,0.000416372507975662,0.000356216226567114,0.00040960655217641594,0.000470766108574082,0.00027615605202112596,0.19193186484893207,0.19411980644233195,0.21762528,non-matching,0.01134289,0.011264121984413428,0.04741183844415561
26,qt,terminal C,balanced,3.7230783767,3.9281269685,9999,1,0.00038355338407466396,0.00029865815155368197,0.000416372507975662,0.000356216226567114,0.00040960655217641594,0.000470766108574082,0.00027615605202112596,0.03337456721181381,0.03321057668060559,0.034089644593459346,matching,0.00338354,0.003549271293092099,0.027403943598640124
27,qt,terminal C,balanced,3.7230783767,3.9281269685,9999,1,0.00038355338407466396,0.00029865815155368197,0.000416372507975662,0.000356216226567114,0.00040960655217641594,0.000470766108574082,0.00027615605202112596,0.14627047828808318,0.14061079612001773,0.14739182,non-matching,0.00338354,0.003549271293092099,0.027403943598640124
28,qt,terminal D,balanced,3.7230783767,3.9281269685,9999,1,0.00038355338407466396,0.00029865815155368197,0.000416372507975662,0.000356216226567114,0.00040960655217641594,0.000470766108574082,0.00027615605202112596,0.031975845739329066,0.03181185520812085,0.033239932971297126,matching,0.00198482,0.0021505498206073476,0.02656726540345969
29,qt,terminal D,balanced,3.7230783767,3.9281269685,9999,1,0.00038355338407466396,0.00029865815155368197,0.000416372507975662,0.000356216226567114,0.00040960655217641594,0.000470766108574082,0.00027615605202112596,0.14487175681559844,0.139212074647533,0.21171576,non-matching,0.00198482,0.0021505498206073476,0.02656726540345969
