Bees,Birds,Mammals,Fungi,Plants,Eudicots,Bacterial (core),Bacterial (non-ribosomal),Bacterial (WoL)
0.86608768,0.78703126,0.80865907,0.972088637,1.948455633,0.356936129,0.72267005,0.24347002,13.35135062
0.844745455,1.10431373,0.95249082,0.981504025,1.94649978,1.794524633,1.34086639,3.17365348,17.5728102
0.844499078,0.41403509,1.35650793,1.000177468,1.945143857,1.247603462,1.15906195,1.11217277,1557.856152
0.831336129,0.44911359,0.49800162,0.785567627,1.936350825,1.065328797,1.12464765,0.73074162,753.951714
0.829331307,0.67757492,0.93524002,0.906443186,1.894752405,0.975928783,0.19197985,1.81966399,220.4376006
0.828092534,0.54129663,0.95812253,0.917966586,1.876336417,1.000458639,0.73695351,34.3143904,5.760478896
0.819156062,0.62135922,0.57226539,1.021760678,1.875613668,0.592940069,0.67117573,1.38696852,7.615780586
0.815156298,0.40185312,1.37355214,1.109275511,1.874884345,0.028802375,0.8937283,0.81648847,25.87191788
0.810149848,0.54793852,0.91610724,,1.874536277,1.136229093,2.43537967,1.08904608,5.438906684
0.80816568,0.83252177,0.94597743,,1.852636947,1.037062044,0.90872401,0.73769692,1.826685368
0.785842388,0.87522987,0.97639391,,1.848970646,0.904999921,2.17453824,0.24872283,2.605328252
0.774680307,0.43798369,1.35283443,,1.840457954,1.238180358,1.15416915,0.64180325,3.926667175
0.762282878,0.11664296,0.6403877,,1.838969327,#DIV/0!,1.27870345,1.74653756,290.9448361
0.758446687,0.86583868,0.66781255,,1.833387744,1.443633889,0.62001785,0.68329064,631.8866561
0.748693205,0.82549576,0.85411669,,1.818552399,1.059362531,0.33298657,0.83708992,3236494
0.739823487,0.93395915,0.92145754,,1.792724167,0.508983431,0.22321665,1.32823167,18.55549441
0.643858904,0.77651865,1.0605729,,1.788524892,1.48870663,1.36687238,2.81070987,201.8085738
0.619676121,0.78065002,0.98381708,,1.743858932,1.093432087,1.1000981,0.5037029,22.57962914
0.616336214,0.74693252,2.02196716,,1.724576695,0.126045514,1.58625935,0.57009382,2.252367076
0.593971631,0.68313781,0.94529756,,1.716711232,0.197209515,0.17546873,1.49615047,27.81456233
0.593085106,1.02563923,1.19077345,,1.712684015,0.390160665,0.88775623,0.24991897,0.333189836
0.577818977,0.60688592,0.80813334,,1.628410986,1.115583144,0.94854175,1.2232828,0.714389621
0.563772988,0.62627301,0.87416385,,1.627115168,0.579031141,0.21384017,0.19773377,0
0.52685422,1.02482718,0.95434527,,1.61932202,0.412814872,0.70925951,0.73625569,0
0.52623063,0.87316798,1.57672797,,1.618233432,0.713537494,0.93172558,0.59904116,0.476780776
0.526227679,0.75625612,1.00711612,,1.616971722,0.846786218,0.74744353,0.2825949,16014.81806
0.448758572,0.78265246,0.27757915,,1.613014291,0.430734125,1.27379674,0.99936275,2.905778258
0.390605296,0.81611145,0.90798154,,1.612199232,0.432022629,0.17071231,0.28141338,11.33331872
0.377641183,0.7935729,0.94206058,,1.606367884,1.154402993,0.33952141,0.90296349,22.80413966
0.352999504,0.83225108,0.63467415,,1.602473958,0.71776639,1.73427376,3.55987273,2.398590069
0.302849705,0.82100091,0.96437142,,1.582074662,6.218535994,0.93585467,1.00697306,1.461188785
0.287913083,0.98417682,0.98544558,,1.581491702,0.962956369,1.20559736,0.7826162,0.395094581
0.123172103,1.05121639,1.08437387,,1.581265337,0.180195758,0.60397427,4.04745611,0.546754857
0.071061244,0.89668023,0.87197923,,1.579960877,0.405019676,1.29673943,0.50698419,2.034881925
,0.88436282,0.59614131,,1.564968066,0.738069705,2.22595911,0.04052656,3.712740972
,0.3286052,0.76456605,,1.526087155,0.998323604,1.14433066,4.44018793,0.470813966
,0.8210515,0.70545855,,1.503717014,1.235308821,0.15116334,1.18110039,0.543918419
,0.93852941,1.35114305,,1.492283301,0.721718831,1.50994569,0.21872494,2.930508746
,0.8383485,1.07533041,,1.48798567,0.809588254,1.01711946,0.94558238,1.534939382
,0.85009141,1.11028079,,1.485470387,1.016237861,2.78618093,0.61536403,3.360969087
,1.28446115,0.5131268,,1.477459491,0.917540915,1.02154284,0.19355278,619.4751074
,0.818813,0.31399424,,1.448507974,1.639296241,1.06465336,0.27113267,32189.50708
,1.13689626,0.26686463,,1.435830846,1.012048545,0.39697916,0.44724334,57106.96957
,0.9633707,1.16620414,,1.434179534,1.674171656,1.2533496,1.2982567,5.699638759
,1.00925926,1.07167383,,1.431101788,3.588802908,1.06867905,1.4297264,1565.848108
,0.87855144,1.30413611,,1.428083842,0.757909341,0.91671252,1.03708811,38.23897813
,0.9045015,0.95459429,,1.416820697,1.627166089,0.88640875,0.96447409,1325.935845
,0.56313993,1.01464939,,1.399956276,0.467959649,0.70118114,0.39784556,5.378444913
,1.07894737,,,1.394777717,1.025801095,2.44509188,1.15526348,35.533267
,0.89028464,,,1.39205051,1.182222572,0.36316006,0.69564363,40.95677207
,0.95412541,,,1.387623452,1.799749042,0.12124458,0.82674254,2.802288466
,0.63530895,,,1.372002569,1.161460168,1.29563471,1.41499839,0.358005171
,0.61252342,,,1.356122032,0.428045639,1.65169282,1.38110424,2.399026448
,0.62262978,,,1.342744097,0.559981217,1.01949306,1.31427726,0.80439827
,0.81990521,,,1.3407788,,1.39386094,0.66453709,158082.4886
,0.76672744,,,1.338898146,,0.7561704,0.97093954,3820.493055
,0.51302852,,,1.333214982,,0.50858109,1.05858016,277508.6711
,0.47090517,,,1.326303183,,1.59903489,0.44181473,21.66847912
,0.81189395,,,1.310175331,,0.70818536,1.11804162,10805.50877
,0.59573971,,,1.287131279,,3.16079746,1.29848393,85207.12072
,1.06824769,,,1.286607419,,0.9985543,0.05478621,170865.1034
,0.92408603,,,1.283199912,,1.46524952,1.0776117,9.191738728
,0.9821366,,,1.269528406,,1.09666916,0.81864021,2788.311977
,0.89780286,,,1.251692744,,0.8215091,1.83188197,56911.81302
,0.8818421,,,1.24550028,,1.59267838,0.93995434,2.328288455
,0.82246318,,,1.205157017,,0.17416847,0.70015667,1.43711762
,1.07899327,,,1.19155658,,0.07193286,0.99435979,1.053488948
,0.7398255,,,1.190942079,,1.33464462,0.841866,8.596123217
,0.71831177,,,1.186280458,,1.07456303,0.84556034,1.157563648
,0.97679982,,,1.179816688,,0.15883889,0.9704162,1.451767093
,0.96043956,,,1.175315404,,0.87971905,0.14707143,0.386907065
,0.43796902,,,1.170910679,,1.06030827,1.69222342,25.73230157
,0.3870076,,,1.163396858,,0.08608422,1.54887554,1.151189563
,0.9711887,,,1.148940227,,1.20286785,0.46903883,27602.72383
,0.89399716,,,1.147937809,,3.25111437,1.68788704,45216.83987
,0.89008641,,,1.142465153,,1.2298143,1.07846031,3126.982899
,0.534995,,,1.138950809,,0.56141587,0.24738069,11.00485977
,0.78656069,,,1.125845979,,0.83834671,0.26565674,5174.920278
,0.89657845,,,1.120910495,,2.98823718,0.62423868,1667.687872
,0.90722318,,,1.120064006,,0.93079953,1.44996567,1.883394636
,0.91682031,,,1.099551612,,0.16638472,0.63989601,542.7941471
,0.45632911,,,1.090964071,,0.78199069,0.71018516,142.6479698
,0.96789679,,,1.09089183,,0.20843935,1.38533474,206.8527667
,0.93184338,,,1.086786682,,0.83345302,0.03624144,9.364453606
,1.06777646,,,1.08079273,,1.909774,0.07340286,2.376303147
,0.96245338,,,1.06530214,,0.95703136,2.4570577,144.5704016
,1.33680918,,,1.062517798,,0.63721509,1.91936859,125.4540773
,0.72112614,,,1.05938464,,1.07092308,2.07025308,2.716465197
,0.78587741,,,1.054399689,,0.67837897,0.74880327,8.137219304
,0.97399977,,,1.053095458,,0.5884031,0.56612756,63662.84918
,0.97632135,,,1.044981086,,0.54280666,2.18829908,1136.598694
,0.90666016,,,1.035881072,,1.85262765,0.83115488,78203.94788
,0.88455134,,,1.023215873,,0.90422849,1.12977347,4.141031053
,0.8095191,,,1.015956542,,1.21981026,0.23961499,2635.665874
,0.96729354,,,1.012748526,,1.58373706,0.41263861,162.9595793
,0.9331262,,,1.007689337,,1.23830722,1.61685898,124995.1869
,0.89900559,,,1.004232811,,0.4753777,0.20033135,4.869568051
,0.82630582,,,1.002082426,,0.67054877,1.84448685,15601.82423
,0.81451979,,,0.990894707,,0.45117108,6.08234443,12.83387472
,0.82246189,,,0.974026497,,1.42224185,0.61527576,34.41766685
,0.86260913,,,0.939417956,,0.71377668,0.66067011,4.909598254
,0.72620749,,,0.922242418,,1.05559378,1.55989354,2.581165897
,0.89401192,,,0.893771145,,0.97294662,1.02911855,2.577182191
,0.85385012,,,0.89298211,,1.54804644,3.26653473,11917.55645
,0.855621,,,0.89015612,,0.22503627,0.61094827,10428.54958
,0.86914818,,,0.857815236,,1.31856167,0.51445714,2.751812091
,0.69707441,,,0.832648422,,0.22202822,1.84165652,2.97613204
,0.79585483,,,0.797840913,,4.72417254,1.37304814,12.67702041
,0.92447761,,,0.755256922,,0.87420793,1.49856656,1.649018344
,1.15122927,,,0.750641358,,4.12296786,0.82963772,9.397105293
,0.94087694,,,0.743683119,,1.25655985,7.31785892,1.334255164
,0.3269962,,,0.723480359,,1.03617291,0.52061825,169.498191
,0.78570806,,,0.70087739,,1.33918696,0.60075471,0.107585185
,0.77748259,,,0.699542043,,0.1594866,1.25044324,1.972218913
,0.70592017,,,0.675908199,,1.33382574,0.92204798,2.924963999
,0.90478734,,,0.675516582,,1.77367205,0.65058033,2.563620568
,0.93599161,,,0.661507959,,1.24343433,0.76207541,0.439001963
,0.92991897,,,0.617121552,,1.19319889,0.6249491,5708.723864
,1.2908805,,,0.616128967,,2.21189228,1.3587198,18.06602516
,0.88555951,,,0.530167172,,1.30604108,1.11991839,7601.334369
,0.80414967,,,0.510812024,,,0.75689534,686.0349894
,0.84239178,,,0.473990849,,,1.28735141,2.97470042
,0.94650076,,,0.463909696,,,0.9928157,0.685556448
,0.94846797,,,0.460422914,,,0.90806893,2.511805801
,0.89119315,,,0.443861651,,,1.04138948,10.2536031
,0.902324,,,0.233818842,,,0.60264573,26.2025599
,0.834678,,,0.185454439,,,1.6239954,2.265295886
,0.00742424,,,,,,0.89379983,2.843312248
,0.00467572,,,,,,5.20619613,3.482163584
,0.97655318,,,,,,0.40993079,3.482163584
,0.86821926,,,,,,0.94027369,0.064676493
,0.95838643,,,,,,1.34759257,44.47839812
,1.3487055,,,,,,1.44365921,937.9376815
,0.92029377,,,,,,0.47797598,10.78112241
,0.9047533,,,,,,0.71729189,3.762315262
,0.68466523,,,,,,1.5368112,4.959049189
,0.94250169,,,,,,0.45427526,2.762822532
,0.35502959,,,,,,1.11718517,2.611933464
,0.90819446,,,,,,3.13794579,2.178861696
