,condition,genes_num,Method,replicate,time_s,mem_gb
0,gdl_1e-9_0,1000,CASTLES-DISCO,1,1976.12,16.028972
1,gdl_1e-9_0,1000,CASTLES-DISCO,2,670.04,5.915404
2,gdl_1e-9_0,1000,CASTLES-DISCO,3,407.37,3.417888
3,gdl_1e-9_0,1000,CASTLES-DISCO,4,637.05,5.107392
4,gdl_1e-9_0,1000,CASTLES-DISCO,5,1479.19,11.16504
5,gdl_1e-9_0,1000,CASTLES-DISCO,6,474.04,3.946588
6,gdl_1e-9_0,1000,CASTLES-DISCO,7,287.03999999999996,1.99138
7,gdl_1e-9_0,1000,CASTLES-DISCO,8,503.11,4.154768
8,gdl_1e-9_0,1000,CASTLES-DISCO,9,1165.93,9.260412
9,gdl_1e-9_0,1000,CASTLES-DISCO,10,581.4,4.8313
10,gdl_1e-9_0,1000,CASTLES-Pro,1,425.7,22.12094
11,gdl_1e-9_0,1000,CASTLES-Pro,2,189.72,8.163544
12,gdl_1e-9_0,1000,CASTLES-Pro,3,147.29,4.51198
13,gdl_1e-9_0,1000,CASTLES-Pro,4,243.41,7.212972
14,gdl_1e-9_0,1000,CASTLES-Pro,5,313.96,14.825768
15,gdl_1e-9_0,1000,CASTLES-Pro,6,117.72999999999999,5.144484
16,gdl_1e-9_0,1000,CASTLES-Pro,7,115.03999999999999,2.643528
17,gdl_1e-9_0,1000,CASTLES-Pro,8,158.89,5.690436
18,gdl_1e-9_0,1000,CASTLES-Pro,9,267.17,12.82924
19,gdl_1e-9_0,1000,CASTLES-Pro,10,137.69,6.409996
20,gdl_1e-9_0,1000,ERaBLE-DISCO,1,22734.1,88.814936
21,gdl_1e-9_0,1000,ERaBLE-DISCO,2,8600.16,34.534032
22,gdl_1e-9_0,1000,ERaBLE-DISCO,3,4341.6,17.531404
23,gdl_1e-9_0,1000,ERaBLE-DISCO,4,7409.67,29.092852
24,gdl_1e-9_0,1000,ERaBLE-DISCO,5,16006.82,65.48576
25,gdl_1e-9_0,1000,ERaBLE-DISCO,6,5091.83,19.48772
26,gdl_1e-9_0,1000,ERaBLE-DISCO,7,2357.55,8.78482
27,gdl_1e-9_0,1000,ERaBLE-DISCO,8,5066.9400000000005,20.512236
28,gdl_1e-9_0,1000,ERaBLE-DISCO,9,12233.95,47.3026
29,gdl_1e-9_0,1000,ERaBLE-DISCO,10,6394.28,26.016928
30,gdl_1e-9_0,1000,FastME(AVG)-DISCO,3,1980.75,10.717808
31,gdl_1e-9_0,1000,FastME(AVG)-DISCO,4,3219.38,17.638784
32,gdl_1e-9_0,1000,FastME(AVG)-DISCO,5,7226.49,39.170284
33,gdl_1e-9_0,1000,FastME(AVG)-DISCO,6,2264.54,12.21624
34,gdl_1e-9_0,1000,FastME(AVG)-DISCO,7,1094.17,5.612608
35,gdl_1e-9_0,1000,FastME(AVG)-DISCO,8,2333.5699999999997,12.689324
36,gdl_1e-9_0,1000,FastME(AVG)-DISCO,9,5455.74,28.845684
