Dataset,Method,RTT,
wol,Concatenation,2.122119886,
wol,Concatenation,2.109157423,
wol,Concatenation,2.11889417,
wol,Concatenation,2.106724801,
wol,Concatenation,2.008780991,
wol,Concatenation,2.072967233,
wol,Concatenation,2.097354678,
wol,Concatenation,2.085569915,
wol,Concatenation,2.004030773,
wol,Concatenation,2.017272786,
wol,Concatenation,2.055062973,
wol,Concatenation,2.06814621,
wol,Concatenation,2.098693304,
wol,Concatenation,2.091507059,
wol,Concatenation,2.022158089,
wol,Concatenation,2.008370924,
wol,Concatenation,2.050855079,
wol,Concatenation,2.002314414,
wol,Concatenation,2.070465952,
wol,Concatenation,2.026870466,
wol,Concatenation,2.023591388,
wol,Concatenation,1.966392305,
wol,Concatenation,2.090036062,
wol,Concatenation,2.1168772,
wol,Concatenation,2.024456116,
wol,Concatenation,2.017878538,
wol,Concatenation,2.039752801,
wol,Concatenation,2.059519058,
wol,Concatenation,2.071385306,
wol,Concatenation,2.123553428,
wol,Concatenation,2.009909709,
wol,Concatenation,2.043452308,
wol,Concatenation,2.018960908,
wol,Concatenation,2.035233548,
wol,Concatenation,2.055402162,
wol,Concatenation,2.051721583,
wol,Concatenation,2.05182587,
wol,Concatenation,2.074121566,
wol,Concatenation,2.065671785,
wol,Concatenation,2.088535132,
wol,Concatenation,1.834867294,
wol,Concatenation,1.968221155,
wol,Concatenation,1.957967217,
wol,Concatenation,1.839001046,
wol,Concatenation,1.89379581,
wol,Concatenation,1.920902454,
wol,Concatenation,1.939219688,
wol,Concatenation,1.922184405,
wol,Concatenation,1.858612255,
wol,Concatenation,1.854738098,
wol,Concatenation,1.790600195,
wol,Concatenation,1.859457175,
wol,Concatenation,1.86494482,
wol,Concatenation,1.792806965,
wol,Concatenation,1.926706519,
wol,Concatenation,1.966989118,
wol,Concatenation,1.997408178,
wol,Concatenation,1.836531113,
wol,Concatenation,1.837011352,
wol,Concatenation,1.79414381,
wol,Concatenation,1.807629234,
wol,Concatenation,1.882857099,
wol,Concatenation,1.843120225,
wol,Concatenation,1.971855511,
wol,Concatenation,1.927667639,
wol,Concatenation,1.804460834,
wol,Concatenation,1.860142872,
wol,Concatenation,1.82504197,
wol,Concatenation,1.8262748,
wol,Concatenation,1.799971557,
wol,Concatenation,1.817690829,
wol,Concatenation,1.812743503,
wol,Concatenation,1.795449244,
wol,Concatenation,1.837218056,
wol,Concatenation,1.876446532,
wol,Concatenation,1.824378466,
wol,Concatenation,1.844015265,
wol,Concatenation,1.853751649,
wol,Concatenation,1.847788826,
wol,Concatenation,2.442047709,
wol,Concatenation,2.307434872,
wol,Concatenation,2.31146351,
wol,Concatenation,2.320613064,
wol,Concatenation,2.345573654,
wol,Concatenation,2.391307532,
wol,Concatenation,2.289688056,
wol,Concatenation,2.295430947,
wol,Concatenation,2.354326174,
wol,Concatenation,2.367254878,
wol,Concatenation,2.348958918,
wol,Concatenation,2.408953953,
wol,Concatenation,2.400353772,
wol,Concatenation,2.389895199,
wol,Concatenation,2.392535605,
wol,Concatenation,2.392061341,
wol,Concatenation,2.404625804,
wol,Concatenation,2.370363294,
wol,Concatenation,2.361630709,
wol,Concatenation,2.329557401,
wol,Concatenation,2.362543592,
wol,Concatenation,2.31674442,
wol,Concatenation,2.315147354,
wol,Concatenation,2.440893636,
wol,Concatenation,2.494497299,
wol,Concatenation,2.437622106,
wol,Concatenation,2.450843027,
wol,Concatenation,2.456700446,
wol,Concatenation,2.434292421,
wol,Concatenation,2.342023611,
wol,Concatenation,2.355243187,
wol,Concatenation,2.351790661,
wol,Concatenation,2.38219771,
wol,Concatenation,2.373317124,
wol,Concatenation,2.386067703,
wol,Concatenation,2.402030659,
wol,Concatenation,2.401425757,
wol,Concatenation,2.433097494,
wol,Concatenation,2.423610184,
wol,Concatenation,2.423829013,
wol,Concatenation,2.43366553,
wol,Concatenation,2.405752395,
wol,Concatenation,2.400411628,
wol,Concatenation,2.020455838,
wol,Concatenation,2.159649897,
wol,Concatenation,2.102544959,
wol,Concatenation,2.185623224,
wol,Concatenation,2.167766149,
wol,Concatenation,2.092093979,
wol,Concatenation,2.081122876,
wol,Concatenation,2.259708986,
wol,Concatenation,2.173465065,
wol,Concatenation,2.170077491,
wol,Concatenation,2.17311584,
wol,Concatenation,2.202632323,
wol,Concatenation,2.224490776,
wol,Concatenation,2.225569713,
wol,Concatenation,2.23219819,
wol,Concatenation,2.224942922,
wol,Concatenation,2.017576517,
wol,Concatenation,2.033459803,
wol,Concatenation,2.071936341,
wol,Concatenation,2.073433478,
wol,Concatenation,2.06801807,
wol,Concatenation,2.07525605,
wol,Concatenation,2.096663442,
wol,Concatenation,2.106445957,
wol,Concatenation,2.136749114,
wol,Concatenation,2.126369712,
wol,Concatenation,2.152795062,
wol,Concatenation,2.157334269,
wol,Concatenation,2.212540235,
wol,Concatenation,2.220226515,
wol,Concatenation,2.226049373,
wol,Concatenation,2.226228551,
wol,Concatenation,2.200155508,
wol,Concatenation,2.206100113,
wol,Concatenation,2.211468327,
wol,Concatenation,2.210910749,
wol,Concatenation,2.131731579,
wol,Concatenation,2.128632594,
wol,Concatenation,2.234189562,
wol,Concatenation,2.247330741,
wol,Concatenation,2.266746173,
wol,Concatenation,2.270912584,
wol,Concatenation,2.2637143,
wol,Concatenation,2.138337162,
wol,Concatenation,2.146624999,
wol,Concatenation,2.148518111,
wol,Concatenation,2.142879509,
wol,Concatenation,2.143716522,
wol,Concatenation,2.148644578,
wol,Concatenation,2.151315352,
wol,Concatenation,2.150978414,
wol,Concatenation,2.149151866,
wol,Concatenation,2.123428672,
wol,Concatenation,2.129847077,
wol,Concatenation,2.13803109,
wol,Concatenation,2.143741623,
wol,Concatenation,2.14897007,
wol,Concatenation,2.110826608,
wol,Concatenation,2.141828498,
wol,Concatenation,2.14540276,
wol,Concatenation,2.142181904,
wol,Concatenation,2.117186686,
wol,Concatenation,2.186995885,
wol,Concatenation,2.196131582,
wol,Concatenation,2.200250028,
wol,Concatenation,2.196427386,
wol,Concatenation,2.168940075,
wol,Concatenation,2.19118493,
wol,Concatenation,2.221607875,
wol,Concatenation,2.21056345,
wol,Concatenation,2.178588685,
wol,Concatenation,2.238065539,
wol,Concatenation,2.197853386,
wol,Concatenation,1.373390487,
wol,Concatenation,1.097843192,
wol,Concatenation,1.154031988,
wol,Concatenation,1.143395648,
wol,Concatenation,1.260812718,
wol,Concatenation,1.229058091,
wol,Concatenation,1.148191936,
wol,Concatenation,1.214898487,
wol,Concatenation,1.259057001,
wol,Concatenation,1.218210171,
wol,Concatenation,1.155984542,
wol,Concatenation,1.24353829,
wol,Concatenation,1.24994783,
wol,Concatenation,1.122995101,
wol,Concatenation,1.136428099,
wol,Concatenation,1.159264904,
wol,Concatenation,1.113994966,
wol,Concatenation,1.071725967,
wol,Concatenation,1.073756407,
wol,Concatenation,1.071627613,
wol,Concatenation,1.238819201,
wol,Concatenation,1.128496348,
wol,Concatenation,1.436345237,
wol,Concatenation,1.252302148,
wol,Concatenation,1.330771703,
wol,Concatenation,1.33860296,
wol,Concatenation,1.304076457,
wol,Concatenation,1.303855778,
wol,Concatenation,1.34815536,
wol,Concatenation,1.364397292,
wol,Concatenation,1.13545589,
wol,Concatenation,1.465599245,
wol,Concatenation,1.199775982,
wol,Concatenation,1.30701805,
wol,Concatenation,1.324211855,
wol,Concatenation,1.26034274,
wol,Concatenation,1.232613314,
wol,Concatenation,1.205514316,
wol,Concatenation,1.26566806,
wol,Concatenation,1.306519083,
wol,Concatenation,1.410276191,
wol,Concatenation,1.410377849,
wol,Concatenation,1.444045771,
wol,Concatenation,1.391404289,
wol,Concatenation,1.391503992,
wol,Concatenation,1.165849429,
wol,Concatenation,1.158944242,
wol,Concatenation,1.225181037,
wol,Concatenation,1.223680343,
wol,Concatenation,1.116091315,
wol,Concatenation,1.371702965,
wol,Concatenation,1.343650758,
wol,Concatenation,1.327878016,
wol,Concatenation,1.244163058,
wol,Concatenation,1.170949606,
wol,Concatenation,1.27456965,
wol,Concatenation,1.286860705,
wol,Concatenation,1.258284123,
wol,Concatenation,1.24018528,
wol,Concatenation,1.219931174,
wol,Concatenation,1.310466051,
wol,Concatenation,1.335948244,
wol,Concatenation,1.309237342,
wol,Concatenation,1.284959315,
wol,Concatenation,1.326811217,
wol,Concatenation,1.244343415,
wol,Concatenation,1.604119091,
wol,Concatenation,1.550021692,
wol,Concatenation,1.529102121,
wol,Concatenation,1.568731506,
wol,Concatenation,1.495223063,
wol,Concatenation,1.231060666,
wol,Concatenation,1.224966211,
wol,Concatenation,1.29395361,
wol,Concatenation,1.24428679,
wol,Concatenation,1.21215639,
wol,Concatenation,1.159693076,
wol,Concatenation,1.321950488,
wol,Concatenation,1.215386283,
wol,Concatenation,1.368379255,
wol,Concatenation,1.349374765,
wol,Concatenation,1.420305724,
wol,Concatenation,1.382468794,
wol,Concatenation,1.300580176,
wol,Concatenation,1.31805278,
wol,Concatenation,1.367613159,
wol,Concatenation,1.385004933,
wol,Concatenation,1.394320157,
wol,Concatenation,1.407236086,
wol,Concatenation,1.401264013,
wol,Concatenation,1.356736623,
wol,Concatenation,1.369840558,
wol,Concatenation,1.366136174,
wol,Concatenation,1.401873768,
wol,Concatenation,1.389230467,
wol,Concatenation,1.395457248,
wol,Concatenation,1.399843012,
wol,Concatenation,1.439420981,
wol,Concatenation,1.418718887,
wol,Concatenation,1.452762093,
wol,Concatenation,1.570715139,
wol,Concatenation,1.506941715,
wol,Concatenation,1.605438217,
wol,Concatenation,1.540606398,
wol,Concatenation,1.541833569,
wol,Concatenation,1.559053483,
wol,Concatenation,1.545082364,
wol,Concatenation,1.574711771,
wol,Concatenation,1.435197023,
wol,Concatenation,1.438477576,
wol,Concatenation,1.46947638,
wol,Concatenation,1.469156716,
wol,Concatenation,1.488146909,
wol,Concatenation,1.46976933,
wol,Concatenation,1.47892261,
wol,Concatenation,1.479861645,
wol,Concatenation,1.486104023,
wol,Concatenation,1.450533059,
wol,Concatenation,1.457390304,
wol,Concatenation,1.573684972,
wol,Concatenation,1.562571955,
wol,Concatenation,1.41014252,
wol,Concatenation,1.417970274,
wol,Concatenation,1.435706339,
wol,Concatenation,1.297715533,
wol,Concatenation,1.40107734,
wol,Concatenation,1.352424927,
wol,Concatenation,1.345096509,
wol,Concatenation,1.344587975,
wol,Concatenation,1.364546856,
wol,Concatenation,1.433138605,
wol,Concatenation,1.436635394,
wol,Concatenation,1.421915495,
wol,Concatenation,1.408884131,
wol,Concatenation,1.405744902,
wol,Concatenation,1.405516141,
wol,Concatenation,1.280413518,
wol,Concatenation,1.273465902,
wol,Concatenation,1.261425447,
wol,Concatenation,1.276574302,
wol,Concatenation,1.28421776,
wol,Concatenation,1.289742785,
wol,Concatenation,1.348531205,
wol,Concatenation,1.334180115,
wol,Concatenation,1.315942144,
wol,Concatenation,1.277412702,
wol,Concatenation,1.280342477,
wol,Concatenation,1.230070342,
wol,Concatenation,1.367852354,
wol,Concatenation,1.364548452,
wol,Concatenation,1.401659382,
wol,Concatenation,1.400750579,
wol,Concatenation,1.394063241,
wol,Concatenation,1.426386018,
wol,Concatenation,1.584972464,
wol,Concatenation,1.588005552,
wol,Concatenation,1.584559349,
wol,Concatenation,1.636686097,
wol,Concatenation,1.597008216,
wol,Concatenation,1.600434048,
wol,Concatenation,1.467006908,
wol,Concatenation,1.49526313,
wol,Concatenation,1.488853217,
wol,Concatenation,1.576972691,
wol,Concatenation,1.477142718,
wol,Concatenation,1.494891308,
wol,Concatenation,1.498593097,
wol,Concatenation,1.531293119,
wol,Concatenation,1.575168144,
wol,Concatenation,1.579192116,
wol,Concatenation,1.540678551,
wol,Concatenation,1.536603666,
wol,Concatenation,1.131250683,
wol,Concatenation,1.169375679,
wol,Concatenation,1.198171868,
wol,Concatenation,1.249365228,
wol,Concatenation,1.260829428,
wol,Concatenation,1.206998223,
wol,Concatenation,1.154924382,
wol,Concatenation,1.202864388,
wol,Concatenation,1.166416827,
wol,Concatenation,1.337788743,
wol,Concatenation,1.332969274,
wol,Concatenation,1.335788224,
wol,Concatenation,1.338470943,
wol,Concatenation,1.326622778,
wol,Concatenation,1.342312799,
wol,Concatenation,1.33809677,
wol,Concatenation,1.349268221,
wol,Concatenation,1.336359062,
wol,Concatenation,1.342170483,
wol,Concatenation,1.262383366,
wol,Concatenation,1.215352904,
wol,Concatenation,1.293439828,
wol,Concatenation,1.308262719,
wol,Concatenation,1.33413206,
wol,Concatenation,1.182275061,
wol,Concatenation,1.203785226,
wol,Concatenation,1.215185855,
wol,Concatenation,1.219188893,
wol,Concatenation,1.243848576,
wol,Concatenation,1.265165824,
wol,Concatenation,1.284568782,
wol,Concatenation,1.246998848,
wol,Concatenation,1.223877852,
wol,Concatenation,1.20560345,
wol,Concatenation,1.200907885,
wol,Concatenation,1.219291031,
wol,Concatenation,1.211101527,
wol,Concatenation,1.279797312,
wol,Concatenation,1.276409286,
wol,Concatenation,1.330481673,
wol,Concatenation,1.348058533,
wol,Concatenation,1.342769769,
wol,Concatenation,1.403081461,
wol,Concatenation,1.302209469,
wol,Concatenation,1.392321642,
wol,Concatenation,1.393105842,
wol,Concatenation,1.366634226,
wol,Concatenation,1.388228447,
wol,Concatenation,1.680008181,
wol,Concatenation,1.68545397,
wol,Concatenation,1.720882666,
wol,Concatenation,1.747470519,
wol,Concatenation,1.700198555,
wol,Concatenation,1.707261689,
wol,Concatenation,1.69960991,
wol,Concatenation,1.699303595,
wol,Concatenation,1.698897974,
wol,Concatenation,1.692502863,
wol,Concatenation,1.696727592,
wol,Concatenation,1.691759751,
wol,Concatenation,1.556810683,
wol,Concatenation,1.579343869,
wol,Concatenation,1.56241105,
wol,Concatenation,1.470494483,
wol,Concatenation,1.421615482,
wol,Concatenation,1.47928397,
wol,Concatenation,1.411816167,
wol,Concatenation,1.490850471,
wol,Concatenation,1.424553498,
wol,Concatenation,1.458876985,
wol,Concatenation,1.42666104,
wol,Concatenation,1.521437846,
wol,Concatenation,1.563878038,
wol,Concatenation,1.510582721,
wol,Concatenation,1.511443805,
wol,Concatenation,1.541649525,
wol,Concatenation,1.598274356,
wol,Concatenation,1.580892463,
wol,Concatenation,1.555330999,
wol,Concatenation,1.620089872,
wol,Concatenation,1.613632591,
wol,Concatenation,1.602783196,
wol,Concatenation,1.575011495,
wol,Concatenation,1.601642636,
wol,Concatenation,1.637834433,
wol,Concatenation,1.636221213,
wol,Concatenation,1.68706619,
wol,Concatenation,1.69577941,
wol,Concatenation,1.443889041,
wol,Concatenation,1.475450127,
wol,Concatenation,1.481624632,
wol,Concatenation,1.465812866,
wol,Concatenation,1.461405949,
wol,Concatenation,1.510501182,
wol,Concatenation,1.551395757,
wol,Concatenation,1.509599435,
wol,Concatenation,1.452027222,
wol,Concatenation,1.537459912,
wol,Concatenation,1.504516119,
wol,Concatenation,1.509290187,
wol,Concatenation,1.53246989,
wol,Concatenation,1.547683107,
wol,Concatenation,1.556622743,
wol,Concatenation,1.56998171,
wol,Concatenation,1.564095427,
wol,Concatenation,1.531148872,
wol,Concatenation,1.584911998,
wol,Concatenation,1.547282983,
wol,Concatenation,1.459500699,
wol,Concatenation,1.478447327,
wol,Concatenation,1.561100036,
wol,Concatenation,1.462839381,
wol,Concatenation,1.531607691,
wol,Concatenation,1.50590583,
wol,Concatenation,1.505815526,
wol,Concatenation,1.505942406,
wol,Concatenation,1.498783729,
wol,Concatenation,1.499986807,
wol,Concatenation,1.565940797,
wol,Concatenation,1.588470105,
wol,Concatenation,1.60050076,
wol,Concatenation,1.533910947,
wol,Concatenation,1.426070613,
wol,Concatenation,1.53459613,
wol,Concatenation,1.573853965,
wol,Concatenation,1.58256716,
wol,Concatenation,1.509778078,
wol,Concatenation,1.64526304,
wol,Concatenation,1.870269149,
wol,Concatenation,1.749160725,
wol,Concatenation,1.811245522,
wol,Concatenation,1.574082054,
wol,Concatenation,1.745367025,
wol,Concatenation,1.707032593,
wol,Concatenation,1.723587182,
wol,Concatenation,1.912594601,
wol,Concatenation,1.848488588,
wol,Concatenation,1.879357532,
wol,Concatenation,1.688907274,
wol,Concatenation,1.690724516,
wol,Concatenation,1.80026965,
wol,Concatenation,1.766970883,
wol,Concatenation,1.672418214,
wol,Concatenation,1.920909773,
wol,Concatenation,1.920284494,
wol,Concatenation,1.860383967,
wol,Concatenation,1.863465814,
wol,Concatenation,1.564181787,
wol,Concatenation,1.461189126,
wol,Concatenation,1.393268849,
wol,Concatenation,1.466339372,
wol,Concatenation,1.441611003,
wol,Concatenation,1.432913942,
wol,Concatenation,1.416766451,
wol,Concatenation,1.589288104,
wol,Concatenation,1.57549273,
wol,Concatenation,1.599890533,
wol,Concatenation,1.34531241,
wol,Concatenation,1.369266139,
wol,Concatenation,1.387935612,
wol,Concatenation,1.358833042,
wol,Concatenation,1.39928837,
wol,Concatenation,1.566250569,
wol,Concatenation,1.636231423,
wol,Concatenation,1.444763015,
wol,Concatenation,1.745037733,
wol,Concatenation,1.699027279,
wol,Concatenation,1.680136603,
wol,Concatenation,1.451962909,
wol,Concatenation,1.417785305,
wol,Concatenation,1.30148332,
wol,Concatenation,1.517971313,
wol,Concatenation,1.76899318,
wol,Concatenation,1.765735385,
wol,Concatenation,1.765914005,
wol,Concatenation,1.505018602,
wol,Concatenation,1.554612869,
wol,Concatenation,1.499254506,
wol,Concatenation,1.49993913,
wol,Concatenation,1.485054306,
wol,Concatenation,1.494176057,
wol,Concatenation,1.499364564,
wol,Concatenation,1.634588907,
wol,Concatenation,1.534839635,
wol,Concatenation,1.53480749,
wol,Concatenation,1.484477284,
wol,Concatenation,1.553811957,
wol,Concatenation,1.500309539,
wol,Concatenation,1.456718013,
wol,Concatenation,1.384581675,
wol,Concatenation,1.552145101,
wol,Concatenation,1.380108419,
wol,Concatenation,1.420519451,
wol,Concatenation,1.479642522,
wol,Concatenation,1.343080484,
wol,Concatenation,1.423648327,
wol,Concatenation,1.370372718,
wol,Concatenation,1.391292333,
wol,Concatenation,1.348593601,
wol,Concatenation,1.371810162,
wol,Concatenation,1.381467174,
wol,Concatenation,1.759702781,
wol,Concatenation,1.870064583,
wol,Concatenation,1.873239047,
wol,Concatenation,1.700226413,
wol,Concatenation,1.744198354,
wol,Concatenation,1.75177662,
wol,Concatenation,1.660333709,
wol,Concatenation,1.722905374,
wol,Concatenation,1.749882399,
wol,Concatenation,1.820705987,
wol,Concatenation,1.782344242,
wol,Concatenation,1.776362747,
wol,Concatenation,1.735352375,
wol,Concatenation,1.752390526,
wol,Concatenation,1.729833398,
wol,Concatenation,1.765395928,
wol,Concatenation,1.776206733,
wol,Concatenation,1.80479545,
wol,Concatenation,1.789078309,
wol,Concatenation,1.703823351,
wol,Concatenation,1.754326688,
wol,Concatenation,1.716604865,
wol,Concatenation,1.687909157,
wol,Concatenation,1.84870342,
wol,Concatenation,1.866961663,
wol,Concatenation,1.935184107,
wol,Concatenation,2.01758599,
wol,Concatenation,1.999333195,
wol,Concatenation,2.076882434,
wol,Concatenation,2.05494153,
wol,Concatenation,2.045459606,
wol,Concatenation,1.759646877,
wol,Concatenation,1.752760302,
wol,Concatenation,1.82578663,
wol,Concatenation,1.826585723,
wol,Concatenation,1.829026027,
wol,Concatenation,1.845674131,
wol,Concatenation,1.798658698,
wol,Concatenation,1.839383303,
wol,Concatenation,1.872435573,
wol,Concatenation,1.531811281,
wol,Concatenation,1.533405028,
wol,Concatenation,1.715011191,
wol,Concatenation,1.666077616,
wol,Concatenation,1.690778884,
wol,Concatenation,1.707104266,
wol,Concatenation,1.583059406,
wol,Concatenation,1.579942994,
wol,Concatenation,1.761836124,
wol,Concatenation,1.783699752,
wol,Concatenation,1.811712432,
wol,Concatenation,1.819368712,
wol,Concatenation,1.80371304,
wol,Concatenation,1.807971109,
wol,Concatenation,1.787294604,
wol,Concatenation,1.793923244,
wol,Concatenation,1.747568464,
wol,Concatenation,1.692393688,
wol,Concatenation,1.714086182,
wol,Concatenation,1.720877076,
wol,Concatenation,1.720566409,
wol,Concatenation,1.474316818,
wol,Concatenation,1.514190786,
wol,Concatenation,1.479563337,
wol,Concatenation,1.494535208,
wol,Concatenation,1.438439191,
wol,Concatenation,1.600407709,
wol,Concatenation,1.479893115,
wol,Concatenation,1.484027881,
wol,Concatenation,1.504920431,
wol,Concatenation,1.519497955,
wol,Concatenation,1.52302932,
wol,Concatenation,1.504239532,
wol,Concatenation,1.471764463,
wol,Concatenation,1.47303801,
wol,Concatenation,1.492108028,
wol,Concatenation,1.442055535,
wol,Concatenation,1.471445168,
wol,Concatenation,1.464942953,
wol,Concatenation,1.495100893,
wol,Concatenation,1.861451592,
wol,Concatenation,1.875272274,
wol,Concatenation,1.763424841,
wol,Concatenation,1.659427079,
wol,Concatenation,1.655168508,
wol,Concatenation,1.741284773,
wol,Concatenation,1.700917033,
wol,Concatenation,1.836397065,
wol,Concatenation,1.882839829,
wol,Concatenation,1.884096045,
wol,Concatenation,1.507393424,
wol,Concatenation,1.480130567,
wol,Concatenation,1.733242402,
wol,Concatenation,1.615549617,
wol,Concatenation,1.671123138,
wol,Concatenation,1.681762914,
wol,Concatenation,1.680100285,
wol,Concatenation,1.764348784,
wol,Concatenation,1.694448026,
wol,Concatenation,1.75455918,
wol,Concatenation,1.750520222,
wol,Concatenation,1.729983469,
wol,Concatenation,1.786082312,
wol,Concatenation,1.825713143,
wol,Concatenation,1.705610429,
wol,Concatenation,1.736848032,
wol,Concatenation,1.799296585,
wol,Concatenation,1.723683446,
wol,Concatenation,1.726464323,
wol,Concatenation,1.729682614,
wol,Concatenation,1.719403738,
wol,Concatenation,1.932409994,
wol,Concatenation,1.750852555,
wol,Concatenation,1.790991515,
wol,Concatenation,1.977753086,
wol,Concatenation,1.82445837,
wol,Concatenation,1.740410592,
wol,Concatenation,1.73449669,
wol,Concatenation,1.795254028,
wol,Concatenation,1.781191685,
wol,Concatenation,1.738282096,
wol,Concatenation,1.720201707,
wol,Concatenation,1.792752253,
wol,Concatenation,1.805811634,
wol,Concatenation,1.804134774,
wol,Concatenation,1.787594141,
wol,Concatenation,1.880203386,
wol,Concatenation,1.922146395,
wol,Concatenation,1.81857848,
wol,Concatenation,1.843404707,
wol,Concatenation,1.95684879,
wol,Concatenation,1.564932146,
wol,Concatenation,1.645580689,
wol,Concatenation,1.729423488,
wol,Concatenation,1.794610281,
wol,Concatenation,1.748541059,
wol,Concatenation,1.758233075,
wol,Concatenation,1.694880679,
wol,Concatenation,1.735006442,
wol,Concatenation,1.732086671,
wol,Concatenation,1.74930269,
wol,Concatenation,1.761176611,
wol,Concatenation,1.684697933,
wol,Concatenation,1.747109083,
wol,Concatenation,1.660395816,
wol,Concatenation,1.734959985,
wol,Concatenation,1.821154523,
wol,Concatenation,1.774970167,
wol,Concatenation,1.835418169,
wol,Concatenation,1.587643589,
wol,Concatenation,1.582837769,
wol,Concatenation,1.77916242,
wol,Concatenation,1.753225844,
wol,Concatenation,1.691220373,
wol,Concatenation,1.674863729,
wol,Concatenation,1.703420907,
wol,Concatenation,1.686722289,
wol,Concatenation,1.683920095,
wol,Concatenation,1.728961864,
wol,Concatenation,1.740950214,
wol,Concatenation,1.880771302,
wol,Concatenation,1.910138206,
wol,Concatenation,2.008858303,
wol,Concatenation,1.639619846,
wol,Concatenation,1.624848971,
wol,Concatenation,1.770871152,
wol,Concatenation,1.733129539,
wol,Concatenation,1.674974787,
wol,Concatenation,1.736065872,
wol,Concatenation,1.752142318,
wol,Concatenation,1.748883139,
wol,Concatenation,1.663803498,
wol,Concatenation,1.642997085,
wol,Concatenation,1.819983164,
wol,Concatenation,1.828527311,
wol,Concatenation,1.811510747,
wol,Concatenation,1.81736802,
wol,Concatenation,1.992900379,
wol,Concatenation,1.831865435,
wol,Concatenation,1.82814825,
wol,Concatenation,1.865718109,
wol,Concatenation,1.901261538,
wol,Concatenation,1.861126799,
wol,Concatenation,1.855664693,
wol,Concatenation,1.81124383,
wol,Concatenation,1.796127694,
wol,Concatenation,1.813358883,
wol,Concatenation,1.853800753,
wol,Concatenation,1.838137901,
wol,Concatenation,1.882203402,
wol,Concatenation,1.947683115,
wol,Concatenation,1.954822833,
wol,Concatenation,1.951479909,
wol,Concatenation,1.809156736,
wol,Concatenation,1.890655733,
wol,Concatenation,1.900572015,
wol,Concatenation,1.880326271,
wol,Concatenation,1.890660312,
wol,Concatenation,1.912316299,
wol,Concatenation,1.903058247,
wol,Concatenation,1.633145921,
wol,Concatenation,1.640955662,
wol,Concatenation,1.639678636,
wol,Concatenation,1.476590791,
wol,Concatenation,1.556748102,
wol,Concatenation,1.552408805,
wol,Concatenation,1.549068367,
wol,Concatenation,1.561787863,
wol,Concatenation,1.344281884,
wol,Concatenation,1.471392067,
wol,Concatenation,1.561596577,
wol,Concatenation,1.533334829,
wol,Concatenation,1.699943785,
wol,Concatenation,1.622408721,
wol,Concatenation,1.674317744,
wol,Concatenation,1.771765232,
wol,Concatenation,1.728176962,
wol,Concatenation,1.546333282,
wol,Concatenation,1.558386039,
wol,Concatenation,1.595332007,
wol,Concatenation,1.596056894,
wol,Concatenation,1.628492937,
wol,Concatenation,1.568631786,
wol,Concatenation,1.604172494,
wol,Concatenation,1.544361964,
wol,Concatenation,1.575016154,
wol,Concatenation,1.586850245,
wol,Concatenation,1.76955669,
wol,Concatenation,1.776049293,
wol,Concatenation,1.7904173,
wol,Concatenation,1.848345388,
wol,Concatenation,1.853172123,
wol,Concatenation,1.594344342,
wol,Concatenation,1.603509352,
wol,Concatenation,1.622406068,
wol,Concatenation,1.678591013,
wol,Concatenation,1.622024468,
wol,Concatenation,1.614875138,
wol,Concatenation,1.715976341,
wol,Concatenation,1.55748242,
wol,Concatenation,1.588822933,
wol,Concatenation,1.596102587,
wol,Concatenation,1.541558827,
wol,Concatenation,1.612557716,
wol,Concatenation,1.588099722,
wol,Concatenation,1.675844976,
wol,Concatenation,1.664685434,
wol,Concatenation,1.653529643,
wol,Concatenation,1.629663228,
wol,Concatenation,1.721012354,
wol,Concatenation,1.801718728,
wol,Concatenation,1.634754382,
wol,Concatenation,1.660546177,
wol,Concatenation,1.602857942,
wol,Concatenation,1.599838278,
wol,Concatenation,1.60076952,
wol,Concatenation,1.620236125,
wol,Concatenation,1.619342426,
wol,Concatenation,1.629582326,
wol,Concatenation,1.626063898,
wol,Concatenation,1.603153408,
wol,Concatenation,1.797489012,
wol,Concatenation,1.846511128,
wol,Concatenation,1.763735702,
wol,Concatenation,1.758082565,
wol,Concatenation,1.780348043,
wol,Concatenation,1.878146475,
wol,Concatenation,1.956373126,
wol,Concatenation,1.978286475,
wol,Concatenation,1.824435303,
wol,Concatenation,1.832356692,
wol,Concatenation,1.793040948,
wol,Concatenation,1.797641967,
wol,Concatenation,1.803836075,
wol,Concatenation,1.706525144,
wol,Concatenation,1.700975395,
wol,Concatenation,1.703385761,
wol,Concatenation,1.638144545,
wol,Concatenation,1.615951678,
wol,Concatenation,1.660436997,
wol,Concatenation,1.668692018,
wol,Concatenation,1.665486076,
wol,Concatenation,1.68268623,
wol,Concatenation,1.70212576,
wol,Concatenation,1.743238415,
wol,Concatenation,1.738787807,
wol,Concatenation,1.759114974,
wol,Concatenation,1.719158681,
wol,Concatenation,1.715952617,
wol,Concatenation,1.722950465,
wol,Concatenation,1.727790488,
wol,Concatenation,1.735171121,
wol,Concatenation,1.75231299,
wol,Concatenation,1.736490817,
wol,Concatenation,1.801496623,
wol,Concatenation,1.729906583,
wol,Concatenation,1.731549272,
wol,Concatenation,1.733811561,
wol,Concatenation,1.742294553,
wol,Concatenation,1.578820971,
wol,Concatenation,1.651801168,
wol,Concatenation,1.611836717,
wol,Concatenation,1.635436299,
wol,Concatenation,1.616518781,
wol,Concatenation,1.616155805,
wol,Concatenation,1.626309781,
