,Condition,num_genes,Method,replicate,Branch Type,l-true,l-est
0,500bp,10000,CASTLES-DISCO,01,terminal,0.00480533,0.005982462901668808
1,500bp,10000,CASTLES-DISCO,01,terminal,0.00134662,0.003632744578564025
2,500bp,10000,CASTLES-DISCO,01,internal,0.02048887,0.015017593586579192
3,500bp,10000,CASTLES-DISCO,01,terminal,0.0511101,0.04287794271773304
4,500bp,10000,CASTLES-DISCO,01,internal,0.00339005,0.01856907994043441
5,500bp,10000,CASTLES-DISCO,01,terminal,0.01682875,0.015718821017495648
6,500bp,10000,CASTLES-DISCO,01,terminal,0.0301089,0.02836685047024423
7,500bp,10000,CASTLES-DISCO,01,internal,0.00746509,0.012044159489260006
8,500bp,10000,CASTLES-DISCO,01,internal,0.05743881,0.0648774598560028
9,500bp,10000,CASTLES-DISCO,01,terminal,0.06298128,0.038238310772789164
10,500bp,10000,CASTLES-DISCO,01,internal,0.00133221,0.016689437534502662
11,500bp,10000,CASTLES-DISCO,01,terminal,0.03082297,0.021597145155307966
12,500bp,10000,CASTLES-DISCO,01,terminal,0.03017272,0.020338270950784824
13,500bp,10000,CASTLES-DISCO,01,internal,0.05264539,0.06063076773057147
14,500bp,10000,CASTLES-DISCO,01,internal,0.14455498,0.10322461725641131
15,500bp,10000,CASTLES-DISCO,01,terminal,0.05219861,0.034811754717816286
16,500bp,10000,CASTLES-DISCO,01,terminal,0.16240299,0.1112156727833147
17,500bp,10000,CASTLES-DISCO,01,internal,0.08433942,0.059167382664341996
18,500bp,10000,CASTLES-DISCO,01,internal,0.69361461,0.32832474707603
19,500bp,10000,CASTLES-DISCO,01,terminal,0.00782794,0.004634499120742149
20,500bp,10000,CASTLES-DISCO,01,terminal,0.00346681,0.0008781364594877927
21,500bp,10000,CASTLES-DISCO,01,internal,0.00043562,0.00272393970139263
22,500bp,10000,CASTLES-DISCO,01,terminal,0.00750052,0.003740832978380049
23,500bp,10000,CASTLES-DISCO,01,internal,0.00049261,0.010309825990031383
24,500bp,10000,CASTLES-DISCO,01,terminal,0.02028174,0.0297339597361276
25,500bp,10000,CASTLES-DISCO,01,terminal,0.0004109,0.008298894975277013
26,500bp,10000,CASTLES-DISCO,01,terminal,0.00290902,0.007499004648442994
27,500bp,10000,CASTLES-DISCO,01,internal,0.00079618,0.0026633119674938123
28,500bp,10000,CASTLES-DISCO,01,internal,0.02481667,0.022266211898599307
29,500bp,10000,CASTLES-DISCO,01,internal,0.2254953,0.13910308135346103
30,500bp,10000,CASTLES-DISCO,01,terminal,0.02556446,0.02831041604309593
31,500bp,10000,CASTLES-DISCO,01,terminal,0.06288072,0.05402409957683002
32,500bp,10000,CASTLES-DISCO,01,terminal,0.03966398,0.03491718262339534
33,500bp,10000,CASTLES-DISCO,01,internal,0.00280508,0.005506566045873146
34,500bp,10000,CASTLES-DISCO,01,internal,0.00069001,0.006110585043962
35,500bp,10000,CASTLES-DISCO,01,terminal,0.04289849,0.04149877334285585
36,500bp,10000,CASTLES-DISCO,01,internal,0.06085203,0.05677854904412519
37,500bp,10000,CASTLES-DISCO,01,internal,0.11620337,0.11695012010108738
38,500bp,10000,CASTLES-DISCO,01,terminal,1.29435141,0.5612202879841116
39,500bp,10000,CASTLES-DISCO,02,terminal,0.00274075,0.004236432210577538
40,500bp,10000,CASTLES-DISCO,02,terminal,0.00025117,0.0010999512403302167
41,500bp,10000,CASTLES-DISCO,02,terminal,0.00210531,0.0015432960820483703
42,500bp,10000,CASTLES-DISCO,02,internal,0.00255217,0.003354709401305633
43,500bp,10000,CASTLES-DISCO,02,internal,0.10228662,0.07994125782513437
44,500bp,10000,CASTLES-DISCO,02,terminal,0.08713871,0.05242141072520423
45,500bp,10000,CASTLES-DISCO,02,internal,0.1582808,0.10571855757900174
46,500bp,10000,CASTLES-DISCO,02,terminal,0.02258575,0.02283695458943445
47,500bp,10000,CASTLES-DISCO,02,terminal,0.02635892,0.026985449250670066
48,500bp,10000,CASTLES-DISCO,02,internal,0.03717176,0.027081281835479688
49,500bp,10000,CASTLES-DISCO,02,terminal,0.01496505,0.023755606553071483
50,500bp,10000,CASTLES-DISCO,02,internal,0.20113916,0.13795979157448499
51,500bp,10000,CASTLES-DISCO,02,internal,0.181741,0.12300904364058259
