,Condition,num_genes,Method,replicate,Branch Type,l-true,l-est
45,20,1000,CASTLES-DISCO,02,internal,0.1582808,0.09861548319909193
46,20,1000,CASTLES-DISCO,02,terminal,0.02258575,0.03451140026629553
47,20,1000,CASTLES-DISCO,02,terminal,0.02635892,0.043883144979911005
48,20,1000,CASTLES-DISCO,02,internal,0.03717176,0.031495746583333824
49,20,1000,CASTLES-DISCO,02,terminal,0.01496505,0.037913829158039945
50,20,1000,CASTLES-DISCO,02,internal,0.20113916,0.14615290488767202
51,20,1000,CASTLES-DISCO,02,internal,0.181741,0.12365228462199526
52,20,1000,CASTLES-DISCO,02,terminal,0.38060804,0.3085055572291488
53,20,1000,CASTLES-DISCO,02,terminal,0.07399659,0.07930942375083848
54,20,1000,CASTLES-DISCO,02,terminal,0.09865494,0.09243877791644821
55,20,1000,CASTLES-DISCO,02,terminal,0.02991538,0.03055027694719504
56,20,1000,CASTLES-DISCO,02,terminal,0.00891228,0.01323490831498139
57,20,1000,CASTLES-DISCO,02,terminal,0.00082135,0.003283768503342145
58,20,1000,CASTLES-DISCO,02,terminal,0.00050492,0.0010686112171102262
59,20,1000,CASTLES-DISCO,02,internal,0.00487078,0.00998040899100099
60,20,1000,CASTLES-DISCO,02,terminal,0.02717474,0.02183438831138573
61,20,1000,CASTLES-DISCO,02,internal,0.00366383,0.005997161407403911
62,20,1000,CASTLES-DISCO,02,internal,0.01523826,0.01976357260664899
63,20,1000,CASTLES-DISCO,02,terminal,0.0086869,0.011915205022918566
64,20,1000,CASTLES-DISCO,02,internal,0.02050321,0.020254150546294827
65,20,1000,CASTLES-DISCO,02,internal,0.00074599,0.002218471480682227
66,20,1000,CASTLES-DISCO,02,terminal,0.02517786,0.027536237403685274
67,20,1000,CASTLES-DISCO,02,internal,0.0020609,0.0036996036955961272
68,20,1000,CASTLES-DISCO,02,terminal,0.04227454,0.0428100041292257
69,20,1000,CASTLES-DISCO,02,terminal,0.00747187,0.012726466917370963
70,20,1000,CASTLES-DISCO,02,terminal,0.03114754,0.03421165082421571
71,20,1000,CASTLES-DISCO,02,internal,0.00889611,0.01049471671537009
72,20,1000,CASTLES-DISCO,02,internal,0.00207106,0.005181335573846296
73,20,1000,CASTLES-DISCO,02,internal,0.01352025,0.026551479961222268
