Dataset,Branch Type,l1/l2
Birds,internal,1.442801556
Birds,terminal,0.904820144
Birds,terminal,0.928180777
Birds,internal,0.894380755
Birds,internal,0.587540279
Birds,terminal,0.931305201
Birds,internal,1.101785714
Birds,terminal,0.931749422
Birds,internal,0.958099251
Birds,terminal,0.91303767
Birds,terminal,0.910069808
Birds,internal,0.769089349
Birds,terminal,0.914832127
Birds,internal,0.88695978
Birds,terminal,0.93351355
Birds,internal,0.947298199
Birds,terminal,0.919245789
Birds,terminal,0.925441465
Birds,internal,0.963472486
Birds,internal,0.927018634
Birds,terminal,0.907025464
Birds,terminal,0.908035891
Birds,internal,0.926835138
Birds,internal,1.131578947
Birds,terminal,0.917096254
Birds,internal,1.692056583
Birds,terminal,0.932733258
Birds,internal,1.188976378
Birds,terminal,0.939541328
Birds,terminal,0.928077609
Birds,internal,1.053357314
Birds,terminal,0.924384774
Birds,internal,1.126699029
Birds,terminal,0.919308151
Birds,internal,0.956456456
Birds,terminal,0.926699275
Birds,internal,0.618181818
Birds,terminal,0.917590591
Birds,internal,0.85011346
Birds,internal,1.799031477
Birds,terminal,0.927606153
Birds,internal,1.14254386
Birds,terminal,0.524601064
Birds,terminal,0.469992206
Birds,internal,0.608298439
Birds,terminal,0.718502203
Birds,internal,0.608673259
Birds,terminal,0.879632873
Birds,internal,0.5349081
Birds,terminal,0.938900753
Birds,internal,0.810032513
Birds,terminal,0.92995878
Birds,terminal,0.92001675
Birds,internal,0.897321429
Birds,terminal,0.93254021
Birds,internal,1.37752809
Birds,internal,0.131238447
Birds,terminal,0.930451128
Birds,internal,1.348360656
Birds,terminal,0.930173342
Birds,internal,0.533519553
Birds,terminal,0.868163461
Birds,terminal,0.915766067
Birds,internal,0.85961921
Birds,internal,0.833795014
Birds,internal,0.910135841
Birds,terminal,0.899201065
Birds,internal,1.19109063
Birds,terminal,0.912429449
Birds,internal,1.000845309
Birds,internal,0.914624506
Birds,terminal,0.908988195
Birds,terminal,0.947986386
Birds,internal,0.936389149
Birds,internal,0.796164077
Birds,terminal,0.917534209
Birds,terminal,0.915571422
Birds,internal,0.886736475
Birds,terminal,0.937550394
Birds,internal,0.881880734
Birds,terminal,0.922655987
Birds,internal,0.947685281
Birds,terminal,0.940553953
Birds,internal,0.813380282
Birds,internal,0.761162145
Birds,terminal,0.920907105
Birds,terminal,0.895442934
Birds,internal,0.812455851
Birds,internal,0.877675309
Birds,terminal,0.909144392
Birds,terminal,0.883183676
Birds,internal,0.833719027
Birds,internal,0.407724594
Birds,terminal,0.925835486
Birds,terminal,0.917067883
Birds,internal,0.984641638
Birds,terminal,0.895288439
Birds,internal,1.212378641
Birds,terminal,0.908784659
Birds,internal,1.141380736
Birds,terminal,0.93145789
Birds,internal,0.977689056
Birds,terminal,0.887082958
Birds,terminal,0.907593603
Birds,internal,0.83610238
Birds,internal,0.944645006
Birds,terminal,0.936653117
Birds,internal,1.249655172
Birds,terminal,0.93678526
Birds,internal,1.087991718
Birds,terminal,0.864961382
Birds,terminal,0.874097713
Birds,internal,0.324734391
Birds,internal,0.124765918
Birds,terminal,0.765856474
Birds,terminal,0.74401577
Birds,internal,0.977008062
Birds,terminal,0.920969442
Birds,internal,0.773854111
Birds,terminal,0.898506241
Birds,internal,0.713237765
Birds,terminal,0.95991322
Birds,internal,0.671366067
Birds,terminal,0.927973795
Birds,internal,0.982332155
Birds,terminal,0.933497575
Birds,internal,0.736114602
Birds,terminal,0.754550182
Birds,terminal,0.743643743
Birds,internal,0.967746382
Birds,internal,0.746082037
Birds,internal,0.814843055
Birds,terminal,0.902939341
Birds,terminal,0.931857771
Birds,internal,0.986907449
Birds,terminal,0.896823141
Birds,terminal,0.906347423
Birds,internal,0.817148554
Birds,internal,0.950191571
Birds,terminal,0.901289471
Birds,terminal,0.892631982
Birds,internal,0.839078714
Birds,internal,0.349514917
Birds,internal,0.792787442
Birds,internal,0.78049071
Birds,terminal,0.914806753
Birds,internal,0.921896547
Birds,terminal,0.918401509
Birds,terminal,0.912695348
Birds,internal,0.803694912
Birds,terminal,0.926576647
Birds,internal,0.790714812
Birds,terminal,0.792986685
Birds,terminal,0.812670374
Birds,internal,0.98419799
Birds,internal,0.818954876
Birds,terminal,0.840308656
Birds,internal,0.913489142
Birds,internal,1.283156128
Birds,terminal,0.456184276
Birds,terminal,0.431874078
Birds,internal,0.435488366
Birds,terminal,0.835104042
Birds,internal,0.90650511
Birds,internal,1.858035714
Birds,terminal,0.57435312
Birds,terminal,0.575141156
Birds,internal,0.774775928
Birds,internal,1.567204301
Birds,terminal,0.872942632
Birds,terminal,0.909263598
Birds,internal,0.743842365
Birds,terminal,0.834294029
Birds,internal,0.98452466
Birds,terminal,0.916093514
Birds,internal,0.618962076
Birds,terminal,0.932966441
Birds,internal,0.571520379
Birds,terminal,0.895005201
Birds,terminal,0.876830404
Birds,internal,0.798866039
Birds,internal,0.850480128
Birds,terminal,0.919705345
Birds,terminal,0.88536516
Birds,internal,0.808168919
Birds,internal,0.950821294
Birds,terminal,0.929733695
Birds,terminal,0.912702583
Birds,internal,0.53289689
Birds,terminal,0.948140796
Birds,internal,0.614851836
Birds,terminal,0.954589418
Birds,internal,0.742562929
Birds,terminal,0.940953297
Birds,internal,0.839704383
Birds,terminal,0.918837724
Birds,terminal,0.898275311
Birds,internal,0.827381939
Birds,terminal,0.94601384
Birds,internal,0.760940919
Birds,internal,0.858453696
Birds,internal,1.001477978
Birds,terminal,0.838323122
Birds,terminal,0.777920698
Birds,internal,0.827895261
Birds,terminal,0.877005196
Birds,terminal,0.868129721
Birds,internal,0.877380797
Birds,internal,0.941024696
Birds,internal,1.648628335
Birds,terminal,0.725014991
Birds,terminal,0.710668833
Birds,internal,0.932427271
Birds,internal,1.635075288
Birds,terminal,0.9318255
Birds,internal,1.770212766
Birds,terminal,0.693881576
Birds,terminal,0.724551032
Birds,internal,0.903511631
Birds,internal,1.571805007
Birds,terminal,0.38372093
Birds,terminal,0.417497231
Birds,internal,0.213612755
Birds,terminal,0.789379085
Birds,terminal,0.824977619
Birds,internal,0.691266562
Birds,internal,0.862323707
Birds,terminal,0.852530084
Birds,internal,0.817347902
Birds,terminal,0.933646813
Birds,internal,0.80944167
Birds,terminal,0.931574258
Birds,internal,0.934010152
Birds,terminal,0.932475447
Birds,internal,1.55105973
Birds,terminal,0.215783274
Birds,terminal,0.203472732
Birds,internal,0.984682424
Birds,terminal,0.885624718
Birds,internal,0.722440532
Birds,terminal,0.915291039
Birds,internal,0.929672032
Birds,internal,1.542124542
Birds,internal,0.991120977
Birds,internal,1.307575098
Birds,terminal,0.621458255
Birds,terminal,0.621027854
Birds,internal,0.732066217
Birds,terminal,0.787563569
Birds,internal,0.753948754
Birds,terminal,0.869297719
Birds,terminal,0.869969512
Birds,internal,0.989520958
Birds,internal,0.288653254
Birds,terminal,0.884221264
Birds,terminal,0.873787734
Birds,internal,0.800303366
Birds,internal,0.834206765
Birds,terminal,0.900318031
Birds,internal,1.071250492
Birds,terminal,0.914636752
Birds,internal,0.892071254
Birds,terminal,0.937771528
Birds,terminal,0.955848239
Birds,internal,0.684818482
Birds,terminal,0.891796301
Birds,internal,0.921489161
Birds,terminal,0.843401025
Birds,terminal,0.874188151
Birds,internal,0.866367028
Birds,internal,0.704225352
Birds,terminal,0.850164396
Birds,terminal,0.863778896
Birds,internal,0.812316424
Birds,internal,1.32815534
Birds,internal,1.506208214
Birds,terminal,0.935790754
Birds,internal,1.6829559
Birds,terminal,0.919665046
Birds,terminal,0.943173002
Birds,internal,0.678551532
Birds,terminal,0.826359513
Birds,internal,1.027133118
Birds,terminal,0.937947896
Birds,internal,0.902036857
Birds,terminal,0.835664133
Birds,terminal,0.854014599
Birds,internal,0.566609377
Birds,internal,0.997064005
Birds,terminal,0.9154773
Birds,internal,0.94688716
Birds,terminal,0.806466952
Birds,terminal,0.847301226
Birds,internal,0.629414498
Birds,internal,1.565499351
Birds,internal,2.018477044
Birds,terminal,0.912435781
Birds,internal,2.001323919
Birds,terminal,0.842027184
Birds,terminal,0.823276143
Birds,internal,0.937386501
Birds,terminal,0.924770975
Birds,internal,1.314299424
Birds,internal,0.929635762
Birds,terminal,0.918621442
Birds,terminal,0.88188273
Birds,internal,0.606982804
Birds,terminal,0.620660748
Birds,terminal,0.580279898
Birds,internal,0.640456679
Birds,internal,0.850794113
Birds,terminal,0.917662541
