,Condition,num_genes,Method,replicate,Branch Type,l-true,l-est
66,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.11269139,0.075443
67,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00149965,0.002423
68,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.04462894,0.045754
69,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00929462,0.004618
70,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01177779,0.018842
71,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00079281,0.004341
72,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.03774313,0.027486
73,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.06846745,0.049685
74,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00155743,0.00824
75,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.0003463,0.007084
76,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.18027542,0.111627
77,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00046429,0.000854
78,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01043561,0.022165
79,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.3533513,0.351925
80,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.02199572,0.072011
81,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.01697152,0.023367
82,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.03178419,0.022331
83,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.08892682,0.055803
84,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.0417792,0.027263
85,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00014386,0.008559
86,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00087479,0.001585
87,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00656276,0.017161
88,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00782033,0.012058
89,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.0178178,0.014875
90,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.02506748,0.05448
91,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.01224014,0.035547
92,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.04814344,0.016717
93,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.0140426,0.020438
94,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01117081,0.058517
95,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.14218547,0.112949
96,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.05190128,0.03141
97,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00661797,0.006061
98,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.10187129,0.117667
99,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00063568,0.013761
100,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00655777,0.027391
101,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.03920113,0.075496
102,gtrees_10000_l1,50,CASTLES-Pro,01,internal,1.29272441,0.914005
103,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.04924068,0.075397
