,Condition,num_genes,Method,replicate,Branch Type,l-true,l-est
0,500bp,1000,CASTLES-DISCO,01,terminal,0.09832507,0.08991499947563494
1,500bp,1000,CASTLES-DISCO,01,terminal,0.17693598,0.1491864628847097
2,500bp,1000,CASTLES-DISCO,01,internal,0.07905508,0.05063680291405679
3,500bp,1000,CASTLES-DISCO,01,terminal,0.19988018,0.1488767868023628
4,500bp,1000,CASTLES-DISCO,01,terminal,0.06923615,0.056848834188022196
5,500bp,1000,CASTLES-DISCO,01,terminal,0.01076866,0.008049732317279788
6,500bp,1000,CASTLES-DISCO,01,terminal,0.00599643,0.0038234589375142746
7,500bp,1000,CASTLES-DISCO,01,internal,0.01132899,0.014450108055648463
8,500bp,1000,CASTLES-DISCO,01,internal,0.00378576,0.019914336856710988
9,500bp,1000,CASTLES-DISCO,01,internal,0.02848246,0.0005527213238858792
10,500bp,1000,CASTLES-DISCO,01,terminal,0.02874803,0.0389017442406131
11,500bp,1000,CASTLES-DISCO,01,terminal,0.0259027,0.032828477237867054
12,500bp,1000,CASTLES-DISCO,01,internal,0.04770004,0.023132677657189057
13,500bp,1000,CASTLES-DISCO,01,terminal,0.03443568,0.03364954629072481
14,500bp,1000,CASTLES-DISCO,01,terminal,0.00681708,0.007593265570780716
15,500bp,1000,CASTLES-DISCO,01,internal,0.0900837,0.06672063957916358
16,500bp,1000,CASTLES-DISCO,01,internal,0.01701571,0.01197906770416958
17,500bp,1000,CASTLES-DISCO,01,internal,0.00026508,0.009756529036401214
18,500bp,1000,CASTLES-DISCO,01,terminal,0.06432235,0.06288559940790282
19,500bp,1000,CASTLES-DISCO,01,internal,0.03267542,0.000692442185441106
20,500bp,1000,CASTLES-DISCO,01,terminal,0.01798076,0.013034172795253476
21,500bp,1000,CASTLES-DISCO,01,terminal,0.03293097,0.035360134610908756
22,500bp,1000,CASTLES-DISCO,01,terminal,0.01621414,0.016807856042196947
23,500bp,1000,CASTLES-DISCO,01,internal,0.03320696,0.023214215203041715
24,500bp,1000,CASTLES-DISCO,01,internal,0.01079716,0.02821413438050483
25,500bp,1000,CASTLES-DISCO,01,internal,0.00258372,0.02721143655564249
26,500bp,1000,CASTLES-DISCO,01,internal,0.03510243,0.07646090040251725
27,500bp,1000,CASTLES-DISCO,01,terminal,0.02388138,0.021259866621795537
28,500bp,1000,CASTLES-DISCO,01,terminal,0.01840908,0.015325858493815118
29,500bp,1000,CASTLES-DISCO,01,internal,0.00104231,0.0036121358402278403
