,condition,genes_num,Method,replicate,time_s,mem_gb
73,gtrees_10000_l1,1000,CASTLES-Pro,5,4.23,0.377812
74,gtrees_10000_l1,10000,CASTLES-Pro,5,73.7,3.680096
75,gtrees_10000_l1,50,CASTLES-Pro,6,1.84,0.024264
76,gtrees_10000_l1,100,CASTLES-Pro,6,1.23,0.044672
77,gtrees_10000_l1,500,CASTLES-Pro,6,4.74,0.201584
78,gtrees_10000_l1,1000,CASTLES-Pro,6,4.62,0.385644
79,gtrees_10000_l1,10000,CASTLES-Pro,6,56.43,3.897844
80,gtrees_10000_l1,50,CASTLES-Pro,7,0.57,0.026812
81,gtrees_10000_l1,100,CASTLES-Pro,7,0.77,0.049868
82,gtrees_10000_l1,500,CASTLES-Pro,7,1.84,0.219264
83,gtrees_10000_l1,1000,CASTLES-Pro,7,4.55,0.422688
84,gtrees_10000_l1,10000,CASTLES-Pro,7,38.06,4.184176
85,gtrees_10000_l1,50,CASTLES-Pro,8,0.76,0.02044
86,gtrees_10000_l1,100,CASTLES-Pro,8,0.76,0.03696
87,gtrees_10000_l1,500,CASTLES-Pro,8,1.9,0.177
88,gtrees_10000_l1,1000,CASTLES-Pro,8,4.22,0.374052
89,gtrees_10000_l1,10000,CASTLES-Pro,8,52.55,4.031848
90,gtrees_10000_l1,50,CASTLES-Pro,9,0.73,0.028024
91,gtrees_10000_l1,100,CASTLES-Pro,9,0.62,0.050052
92,gtrees_10000_l1,500,CASTLES-Pro,9,1.44,0.204316
93,gtrees_10000_l1,1000,CASTLES-Pro,9,5.95,0.399768
94,gtrees_10000_l1,10000,CASTLES-Pro,9,54.91,3.905004
95,gtrees_10000_l1,50,CASTLES-Pro,10,2.09,0.022772
96,gtrees_10000_l1,100,CASTLES-Pro,10,0.61,0.042356
97,gtrees_10000_l1,500,CASTLES-Pro,10,1.53,0.1951
98,gtrees_10000_l1,1000,CASTLES-Pro,10,4.38,0.40522
99,gtrees_10000_l1,10000,CASTLES-Pro,10,65.95,4.16976
100,gtrees_10000_l1,50,ERaBLE-DISCO,1,14.44,0.099672
101,gtrees_10000_l1,100,ERaBLE-DISCO,1,27.380000000000003,0.146788
102,gtrees_10000_l1,500,ERaBLE-DISCO,1,147.53,0.73072
103,gtrees_10000_l1,1000,ERaBLE-DISCO,1,280.28,1.432292
104,gtrees_10000_l1,10000,ERaBLE-DISCO,1,2817.73,14.237776
105,gtrees_10000_l1,50,ERaBLE-DISCO,2,11.77,0.091028
106,gtrees_10000_l1,100,ERaBLE-DISCO,2,23.73,0.130924
107,gtrees_10000_l1,500,ERaBLE-DISCO,2,130.35,0.62822
108,gtrees_10000_l1,1000,ERaBLE-DISCO,2,249.38,1.25736
109,gtrees_10000_l1,10000,ERaBLE-DISCO,2,2547.05,12.219984
110,gtrees_10000_l1,50,ERaBLE-DISCO,3,15.17,0.103144
111,gtrees_10000_l1,100,ERaBLE-DISCO,3,28.89,0.153168
112,gtrees_10000_l1,500,ERaBLE-DISCO,3,134.81,0.652948
113,gtrees_10000_l1,1000,ERaBLE-DISCO,3,257.08000000000004,1.306924
114,gtrees_10000_l1,10000,ERaBLE-DISCO,3,2670.58,13.149348
115,gtrees_10000_l1,50,ERaBLE-DISCO,4,14.41,0.099124
116,gtrees_10000_l1,100,ERaBLE-DISCO,4,28.080000000000002,0.149516
117,gtrees_10000_l1,500,ERaBLE-DISCO,4,158.1,0.79158
118,gtrees_10000_l1,1000,ERaBLE-DISCO,4,300.53,1.553204
119,gtrees_10000_l1,10000,ERaBLE-DISCO,4,2901.29,14.792432
120,gtrees_10000_l1,50,ERaBLE-DISCO,5,11.0,0.09018
121,gtrees_10000_l1,100,ERaBLE-DISCO,5,21.37,0.124592
122,gtrees_10000_l1,500,ERaBLE-DISCO,5,107.52,0.492632
123,gtrees_10000_l1,1000,ERaBLE-DISCO,5,210.91,1.011892
124,gtrees_10000_l1,10000,ERaBLE-DISCO,5,2186.18,10.037008
125,gtrees_10000_l1,50,ERaBLE-DISCO,6,14.11,0.097636
126,gtrees_10000_l1,100,ERaBLE-DISCO,6,27.17,0.142244
127,gtrees_10000_l1,500,ERaBLE-DISCO,6,130.62,0.641528
128,gtrees_10000_l1,1000,ERaBLE-DISCO,6,241.9,1.235032
129,gtrees_10000_l1,10000,ERaBLE-DISCO,6,2522.23,12.730116
130,gtrees_10000_l1,50,ERaBLE-DISCO,7,15.51,0.10272
131,gtrees_10000_l1,100,ERaBLE-DISCO,7,31.27,0.168144
132,gtrees_10000_l1,500,ERaBLE-DISCO,7,142.9,0.69784
133,gtrees_10000_l1,1000,ERaBLE-DISCO,7,261.53999999999996,1.351228
134,gtrees_10000_l1,10000,ERaBLE-DISCO,7,2771.35,13.74884
135,gtrees_10000_l1,50,ERaBLE-DISCO,8,12.940000000000001,0.099148
136,gtrees_10000_l1,100,ERaBLE-DISCO,8,19.880000000000003,0.117716
137,gtrees_10000_l1,500,ERaBLE-DISCO,8,110.66,0.52838
138,gtrees_10000_l1,1000,ERaBLE-DISCO,8,232.54,1.124676
