,Taxon,Branch Type,l1,l2,l2/l2
14,  ,internal,0.008038,0,#DIV/0!
33,  ,internal,0.052047,0,#DIV/0!
84,  ,internal,0.010796,0,#DIV/0!
94,  ,internal,0.00123,0,#DIV/0!
121,  ,internal,0.025224,0,#DIV/0!
129,  ,internal,0.000713,0,#DIV/0!
151,  ,internal,0.011429,0,#DIV/0!
155,  ,internal,0,0,#DIV/0!
31,Nothocerosvincentianus,terminal,0.083842,0.008696999,9.640336329
30,Nothocerosaenigmaticus,terminal,0.083148,0.009121062,9.116044079
39,  ,internal,0.064333,0.020981743,3.066141863
143,  ,internal,0.044923,0.015197369,2.955972278
71,  ,internal,0.030639,0.010795906,2.838020245
41,  ,internal,0.03546,0.013340402,2.658090899
55,  ,internal,0.075606,0.030231969,2.500862573
101,  ,internal,0.02858,0.011863551,2.409059564
134,Oryza,terminal,0.086972,0.037582284,2.314175481
152,  ,internal,0.076449,0.033050211,2.31311683
122,  ,internal,0.013843,0.006139948,2.254579206
95,  ,internal,0.03271,0.01474053,2.219051803
127,  ,internal,0.041935,0.019436392,2.157550659
111,  ,internal,0.029474,0.01403617,2.099860572
86,Medicago,terminal,0.24622,0.118805376,2.072465139
76,Arabidopsis,terminal,0.27591,0.1349901,2.043927667
81,Populus,terminal,0.1625,0.079901553,2.033752722
144,  ,internal,0.032264,0.015905626,2.028464604
145,  ,internal,0.2224,0.110018155,2.021484537
19,  ,internal,0.055265,0.027616915,2.001128649
105,Vitis,terminal,0.128579,0.064340348,1.998419407
65,  ,internal,0.051327,0.026342401,1.948455633
91,  ,internal,0.085149,0.043744675,1.94649978
82,  ,internal,0.01698,0.008729431,1.945143857
141,  ,internal,0.038843,0.020059898,1.936350825
131,Zea,terminal,0.042641,0.022504787,1.894752405
138,  ,internal,0.023723,0.012643255,1.876336417
79,Hibiscus,terminal,0.160565,0.085606649,1.875613668
142,  ,internal,0.043087,0.022981151,1.874884345
113,Persea,terminal,0.128034,0.068301692,1.874536277
135,Brachypodium,terminal,0.083794,0.045229585,1.852636947
72,  ,internal,0.06606,0.035727987,1.848970646
140,  ,internal,0.055112,0.029944721,1.840457954
17,  ,internal,0.085232,0.046347701,1.838969327
133,  ,internal,0.057668,0.031454339,1.833387744
85,Boehmeria,terminal,0.159063,0.087466823,1.818552399
114,Liriodendron,terminal,0.094863,0.052915558,1.792724167
102,Kochia,terminal,0.271223,0.151646198,1.788524892
110,Eschscholzia,terminal,0.150221,0.086142862,1.743858932
87,  ,internal,0.014546,0.008434534,1.724576695
74,Nuphar,terminal,0.206917,0.120531046,1.716711232
47,  ,internal,0.065121,0.038022776,1.712684015
77,Carica,terminal,0.122539,0.075250659,1.628410986
83,Larrea,terminal,0.174905,0.107493928,1.627115168
92,Ipomoea,terminal,0.147704,0.091213482,1.61932202
100,Diospyros,terminal,0.130522,0.08065709,1.618233432
106,  ,internal,0.048074,0.029730885,1.616971722
128,Yucca,terminal,0.144972,0.089876451,1.613014291
108,Aquilegia,terminal,0.134654,0.083521935,1.612199232
63,  ,internal,0.013273,0.00826274,1.606367884
8,  ,internal,0.107603,0.067148049,1.602473958
32,  ,internal,0.363026,0.22946199,1.582074662
147,  ,internal,0.061641,0.038976493,1.581491702
137,  ,internal,0.214327,0.135541452,1.581265337
123,Acorus,terminal,0.181458,0.114849679,1.579960877
93,Rosmarinus,terminal,0.182619,0.116691838,1.564968066
120,Sarcandra,terminal,0.111241,0.072892953,1.526087155
153,  ,internal,0.165325,0.109944224,1.503717014
22,Physcomitrella,terminal,0.162176,0.108676415,1.492283301
34,Selaginella,terminal,0.382924,0.257343876,1.48798567
124,Dioscorea,terminal,0.152597,0.102726383,1.485470387
117,Houttuynia,terminal,0.154774,0.104756848,1.477459491
116,Saruma,terminal,0.095743,0.066097669,1.448507974
78,  ,internal,0.020995,0.014622196,1.435830846
107,Podophyllum,terminal,0.109931,0.076650794,1.434179534
96,Tanacetum,terminal,0.076614,0.053534976,1.431101788
23,  ,internal,0.089921,0.062966191,1.428083842
118,  ,internal,0.045379,0.032028753,1.416820697
125,Colchicum,terminal,0.110828,0.07916533,1.399956276
